L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5903,37.899,60.2349,1.63433,1.26136,1.44093,108.883,0.039629,7.33665,6.64533,39.5888,1.60736,0.615098,0.794675,22.7018,0.0215477,1.655,1.33548,7.6565,3.34871
38.5903,37.899,60.2351,1.56124,1.25977,1.43999,108.856,0.0397454,7.33665,6.64533,39.5889,1.53428,0.613515,0.793729,22.6742,0.0213017,1.65545,1.33619,7.66613,3.35314
38.5903,37.899,60.2354,1.6044,1.26167,1.44083,108.92,0.0398858,7.33665,6.64533,39.5892,1.57744,0.615411,0.79457,22.7381,0.0218842,1.65446,1.33577,7.64482,3.3505
38.5903,37.899,60.2356,1.56385,1.26194,1.44117,108.888,0.0396002,7.33665,6.64533,39.5894,1.53689,0.615676,0.794908,22.7063,0.0218762,1.65492,1.33616,7.6547,3.35295
38.5903,37.899,60.2352,1.62654,1.26075,1.4406,108.866,0.0388445,7.33665,6.64533,39.589,1.59957,0.614492,0.794342,22.6842,0.0215834,1.65529,1.33555,7.66239,3.34916
38.5903,37.899,60.2348,1.53257,1.26057,1.44048,108.885,0.0404705,7.33665,6.64533,39.5887,1.50561,0.614312,0.794226,22.7032,0.0215432,1.65499,1.33646,7.65645,3.3549
38.5903,37.899,60.2355,1.62194,1.26133,1.44061,108.893,0.0401598,7.33665,6.64533,39.5893,1.59497,0.615068,0.794356,22.7113,0.0217562,1.65486,1.33559,7.65353,3.34942
38.5903,37.899,60.235,1.69238,1.25986,1.43972,108.873,0.0406183,7.33665,6.64533,39.5889,1.66542,0.613597,0.793464,22.6912,0.0220325,1.65519,1.33492,7.66056,3.34518
38.5903,37.899,60.2344,1.4625,1.25771,1.43843,108.85,0.0394052,7.33665,6.64533,39.5882,1.43553,0.611449,0.79217,22.6686,0.0209141,1.65559,1.33715,7.66921,3.3592
38.5903,37.899,60.2342,1.52189,1.25806,1.43899,108.823,0.0381783,7.33665,6.64533,39.5881,1.49493,0.611797,0.792735,22.6412,0.0213393,1.656,1.33657,7.67753,3.35559
