L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5903,37.899,60.2324,1.64833,1.25413,1.43664,108.76,0.0384141,7.33665,6.64533,39.5863,1.62137,0.607874,0.790382,22.578,0.0215575,1.65703,1.33537,7.69967,3.34801
38.5903,37.899,60.2331,1.45385,1.25519,1.43721,108.805,0.0376584,7.33665,6.64533,39.5869,1.42688,0.608927,0.790952,22.6231,0.0205377,1.65635,1.33724,7.68502,3.35981
38.5903,37.899,60.233,1.5439,1.2558,1.43787,108.79,0.0384693,7.33665,6.64533,39.5868,1.51693,0.609544,0.79161,22.608,0.020821,1.65654,1.33637,7.68937,3.35432
38.5903,37.899,60.2334,1.47806,1.25816,1.43948,108.822,0.036725,7.33665,6.64533,39.5872,1.45109,0.611905,0.793218,22.6401,0.0202297,1.65603,1.33701,7.67804,3.35831
38.5903,37.899,60.2326,1.51627,1.25458,1.43719,108.755,0.0390958,7.33665,6.64533,39.5864,1.4893,0.608318,0.790934,22.5731,0.0211596,1.65708,1.33664,7.70105,3.35603
38.5903,37.899,60.2323,1.55647,1.25573,1.43803,108.772,0.0383796,7.33665,6.64533,39.5862,1.5295,0.609472,0.791772,22.5901,0.0211911,1.65681,1.33626,7.69496,3.3536
38.5903,37.899,60.2331,1.46773,1.25594,1.43801,108.765,0.0378784,7.33665,6.64533,39.5869,1.44076,0.609683,0.791754,22.5833,0.0211416,1.65691,1.33711,7.69709,3.35896
38.5903,37.899,60.232,1.40706,1.25189,1.43535,108.73,0.0392569,7.33665,6.64533,39.5859,1.3801,0.60563,0.789089,22.5487,0.0205506,1.65751,1.33771,7.71054,3.36273
38.5903,37.899,60.2344,1.50517,1.25989,1.44008,108.856,0.0398328,7.33665,6.64533,39.5882,1.4782,0.613631,0.793821,22.6747,0.0213771,1.65544,1.33673,7.66591,3.35659
38.5903,37.899,60.2327,1.50317,1.25483,1.43747,108.768,0.0379446,7.33665,6.64533,39.5865,1.47621,0.608567,0.791211,22.5864,0.0210692,1.65689,1.33677,7.69664,3.35682
38.5903,37.899,60.2325,1.54154,1.2533,1.43627,108.768,0.0377601,7.33665,6.64533,39.5864,1.51457,0.607046,0.79001,22.5868,0.0210933,1.65693,1.3364,7.69738,3.35449
38.5903,37.899,60.2321,1.40105,1.25364,1.43649,108.766,0.0370234,7.33665,6.64533,39.5859,1.37408,0.607381,0.790235,22.5847,0.0201702,1.65696,1.33776,7.69817,3.3631
38.5903,37.899,60.233,1.56267,1.2566,1.43824,108.825,0.0374345,7.33665,6.64533,39.5868,1.53571,0.610338,0.791982,22.6433,0.0207087,1.65601,1.33619,7.67775,3.35318
38.5903,37.899,60.2331,1.49079,1.25567,1.43734,108.813,0.0378367,7.33665,6.64533,39.5869,1.46383,0.609416,0.791085,22.6312,0.0207322,1.65621,1.33689,7.68217,3.35755
38.5903,37.899,60.2331,1.43953,1.25772,1.43901,108.835,0.037432,7.33665,6.64533,39.587,1.41257,0.611456,0.792751,22.6539,0.0207058,1.65583,1.33738,7.67378,3.36068
38.5903,37.899,60.2336,1.51894,1.25838,1.43931,108.833,0.0390999,7.33665,6.64533,39.5874,1.49198,0.612119,0.793053,22.6511,0.0209162,1.65583,1.33661,7.6743,3.35581
38.5903,37.899,60.234,1.43141,1.25971,1.44016,108.854,0.0363699,7.33665,6.64533,39.5879,1.40444,0.61345,0.793902,22.6729,0.0199057,1.65552,1.33745,7.66696,3.36112
38.5903,37.899,60.2338,1.42476,1.25765,1.43851,108.836,0.037697,7.33665,6.64533,39.5876,1.39779,0.611388,0.792247,22.6542,0.0204565,1.65583,1.33752,7.67393,3.36154
38.5903,37.899,60.2342,1.57677,1.25933,1.43983,108.848,0.0387289,7.33665,6.64533,39.588,1.54981,0.613069,0.793573,22.6662,0.0216281,1.65559,1.33604,7.6688,3.35225
38.5903,37.899,60.2323,1.5501,1.25348,1.43615,108.745,0.0381636,7.33665,6.64533,39.5861,1.52313,0.60722,0.789891,22.5639,0.0210519,1.65726,1.33632,7.70472,3.35399
38.5903,37.899,60.2328,1.50416,1.25473,1.43726,108.781,0.0389813,7.33665,6.64533,39.5867,1.4772,0.608469,0.791,22.5992,0.0210805,1.65669,1.33676,7.69265,3.35675
38.5903,37.899,60.2334,1.5237,1.25628,1.43801,108.803,0.0397953,7.33665,6.64533,39.5872,1.49673,0.610024,0.791754,22.621,0.0215392,1.65632,1.33656,7.68478,3.35553
38.5903,37.899,60.2332,1.57094,1.25526,1.43764,108.781,0.0387464,7.33665,6.64533,39.5871,1.54397,0.609002,0.791385,22.5994,0.0209565,1.65667,1.33611,7.69231,3.35266
38.5903,37.899,60.2321,1.53145,1.25428,1.43701,108.753,0.0390105,7.33665,6.64533,39.5859,1.50448,0.608023,0.790755,22.571,0.0211347,1.65712,1.3365,7.70189,3.35513
38.5903,37.899,60.2335,1.47426,1.25714,1.43862,108.818,0.0380932,7.33665,6.64533,39.5873,1.44729,0.610883,0.792357,22.6369,0.021033,1.65609,1.33704,7.6794,3.35854
38.5903,37.899,60.2331,1.54428,1.25681,1.43846,108.796,0.0392888,7.33665,6.64533,39.587,1.51732,0.610546,0.792204,22.6144,0.0211215,1.65641,1.33637,7.68673,3.35429
38.5903,37.899,60.2331,1.61882,1.25535,1.43723,108.808,0.0383154,7.33665,6.64533,39.5869,1.59186,0.609088,0.79097,22.6263,0.0214245,1.65629,1.33565,7.68367,3.34976
38.5903,37.899,60.2321,1.55034,1.25249,1.43564,108.739,0.037398,7.33665,6.64533,39.5859,1.52338,0.606232,0.789382,22.5576,0.0210032,1.65739,1.33632,7.70726,3.35399
38.5903,37.899,60.2335,1.57278,1.25794,1.43911,108.805,0.0390393,7.33665,6.64533,39.5873,1.54581,0.611677,0.792853,22.6232,0.0211725,1.65626,1.33609,7.68332,3.35253
38.5903,37.899,60.2329,1.53927,1.25515,1.43729,108.774,0.0378719,7.33665,6.64533,39.5867,1.51231,0.608888,0.791032,22.5921,0.0209602,1.6568,1.33642,7.69481,3.35461
38.5903,37.899,60.2337,1.53369,1.25933,1.44013,108.82,0.0383829,7.33665,6.64533,39.5875,1.50672,0.613072,0.79387,22.6384,0.0207671,1.656,1.33646,7.67783,3.3549
38.5903,37.899,60.2326,1.39254,1.25467,1.43676,108.813,0.0372521,7.33665,6.64533,39.5864,1.36558,0.608412,0.790504,22.6313,0.0201327,1.65625,1.33784,7.68286,3.36359
38.5903,37.899,60.2326,1.48538,1.25441,1.43678,108.765,0.0382762,7.33665,6.64533,39.5865,1.45841,0.608148,0.79052,22.5833,0.021243,1.65695,1.33694,7.69793,3.35791
38.5903,37.899,60.2327,1.47968,1.25393,1.43651,108.767,0.0378914,7.33665,6.64533,39.5866,1.45271,0.607667,0.790253,22.5854,0.0210126,1.65693,1.337,7.69758,3.35825
38.5903,37.899,60.2329,1.43015,1.25583,1.43785,108.794,0.0376489,7.33665,6.64533,39.5867,1.40318,0.60957,0.791589,22.6129,0.0203417,1.65648,1.33747,7.68795,3.36127
38.5903,37.899,60.2322,1.54541,1.25421,1.43682,108.751,0.0378943,7.33665,6.64533,39.586,1.51844,0.607955,0.79056,22.5696,0.0210362,1.65716,1.33637,7.70246,3.35428
38.5903,37.899,60.2331,1.54338,1.256,1.4379,108.798,0.0383098,7.33665,6.64533,39.5869,1.51641,0.609745,0.791643,22.6161,0.0209297,1.65642,1.33638,7.68667,3.35435
38.5903,37.899,60.2331,1.50071,1.25601,1.43772,108.83,0.0382187,7.33665,6.64533,39.5869,1.47374,0.609751,0.791459,22.6489,0.0208059,1.65594,1.33679,7.67628,3.35695
38.5903,37.899,60.232,1.59954,1.2514,1.43444,108.751,0.038654,7.33665,6.64533,39.5859,1.57258,0.605143,0.788182,22.5695,0.0213939,1.65723,1.33584,7.70402,3.35099
38.5903,37.899,60.2334,1.50781,1.25628,1.43793,108.796,0.0390129,7.33665,6.64533,39.5873,1.48084,0.610018,0.791667,22.6143,0.0210289,1.65643,1.33672,7.6871,3.35649
38.5903,37.899,60.2329,1.56032,1.25606,1.43765,108.818,0.0386385,7.33665,6.64533,39.5867,1.53335,0.609802,0.791386,22.6362,0.0213623,1.65612,1.33622,7.68017,3.35333
38.5903,37.899,60.2331,1.50904,1.2571,1.43852,108.803,0.0362368,7.33665,6.64533,39.587,1.48207,0.61084,0.792266,22.6214,0.020417,1.65634,1.33671,7.68458,3.35644
38.5903,37.899,60.2321,1.63422,1.25215,1.43553,108.732,0.0385815,7.33665,6.64533,39.5859,1.60725,0.605892,0.789272,22.5508,0.021422,1.65748,1.33551,7.70943,3.34889
38.5903,37.899,60.233,1.58326,1.25528,1.4375,108.788,0.0379155,7.33665,6.64533,39.5868,1.5563,0.609016,0.791238,22.6062,0.0211894,1.65659,1.33599,7.6901,3.35193
38.5903,37.899,60.2327,1.42439,1.2556,1.4376,108.768,0.036875,7.33665,6.64533,39.5865,1.39742,0.609338,0.791339,22.5862,0.0203717,1.6569,1.33753,7.69665,3.36163
38.5903,37.899,60.2327,1.44384,1.25442,1.43668,108.761,0.0377747,7.33665,6.64533,39.5865,1.41688,0.608158,0.790419,22.5798,0.0209969,1.65701,1.33734,7.69918,3.36044
38.5903,37.899,60.2328,1.48432,1.25413,1.43654,108.794,0.0370299,7.33665,6.64533,39.5866,1.45736,0.607871,0.790286,22.6129,0.0205856,1.65653,1.33695,7.68883,3.35797
38.5903,37.899,60.2326,1.6333,1.25497,1.43715,108.773,0.037716,7.33665,6.64533,39.5864,1.60633,0.608715,0.790895,22.5918,0.0212667,1.65681,1.33551,7.6949,3.34891
38.5903,37.899,60.2324,1.53981,1.25253,1.43511,108.768,0.0390869,7.33665,6.64533,39.5863,1.51285,0.606271,0.788851,22.5861,0.0208759,1.65695,1.33642,7.6983,3.35461
38.5903,37.899,60.2331,1.51926,1.25533,1.43753,108.791,0.037977,7.33665,6.64533,39.5869,1.4923,0.609068,0.791276,22.6097,0.0209617,1.65653,1.33661,7.68903,3.35582
38.5903,37.899,60.2319,1.40898,1.25139,1.4348,108.716,0.0370923,7.33665,6.64533,39.5857,1.38201,0.60513,0.788538,22.535,0.0202974,1.65776,1.33769,7.71539,3.36262
38.5903,37.899,60.2333,1.40137,1.2558,1.43746,108.81,0.0368358,7.33665,6.64533,39.5871,1.3744,0.609544,0.791198,22.6284,0.0205067,1.65627,1.33775,7.68307,3.36301
38.5903,37.899,60.233,1.54595,1.25502,1.43727,108.789,0.038223,7.33665,6.64533,39.5868,1.51898,0.608765,0.791012,22.6073,0.0206546,1.65658,1.33635,7.6901,3.3542
38.5903,37.899,60.2334,1.47357,1.25673,1.4381,108.815,0.0373711,7.33665,6.64533,39.5872,1.4466,0.610476,0.791842,22.6334,0.0205783,1.65616,1.33705,7.68095,3.35858
38.5903,37.899,60.2326,1.5596,1.25422,1.43676,108.755,0.0375363,7.33665,6.64533,39.5865,1.53264,0.60796,0.790496,22.5731,0.0207246,1.65711,1.33622,7.70144,3.35339
38.5903,37.899,60.2333,1.55181,1.25752,1.43865,108.813,0.0376992,7.33665,6.64533,39.5871,1.52485,0.611266,0.792391,22.6316,0.0210845,1.65616,1.33629,7.68092,3.35382
38.5903,37.899,60.2321,1.38493,1.25427,1.43683,108.766,0.0366524,7.33665,6.64533,39.5859,1.35796,0.608009,0.790573,22.5847,0.0199134,1.65695,1.33792,7.69794,3.36408
38.5903,37.899,60.2329,1.51487,1.25536,1.43757,108.801,0.037801,7.33665,6.64533,39.5867,1.4879,0.609102,0.791311,22.6196,0.0211239,1.65639,1.33665,7.6858,3.3561
38.5903,37.899,60.233,1.51825,1.25482,1.43669,108.803,0.0385144,7.33665,6.64533,39.5869,1.49129,0.608557,0.790427,22.621,0.0210753,1.65638,1.33662,7.68582,3.35588
38.5903,37.899,60.2323,1.49702,1.25373,1.43652,108.766,0.039721,7.33665,6.64533,39.5862,1.47006,0.607471,0.790264,22.5847,0.0213498,1.65692,1.33683,7.69775,3.35722
38.5903,37.899,60.2333,1.51795,1.25639,1.43778,108.801,0.0381072,7.33665,6.64533,39.5871,1.49099,0.610127,0.791519,22.6193,0.0212117,1.65637,1.33662,7.68548,3.35588
38.5903,37.899,60.2342,1.50635,1.25721,1.43815,108.846,0.0395612,7.33665,6.64533,39.588,1.47939,0.610954,0.791892,22.6647,0.021346,1.65566,1.33672,7.67056,3.35654
38.5903,37.899,60.2327,1.45711,1.25342,1.43594,108.786,0.0368035,7.33665,6.64533,39.5865,1.43015,0.607163,0.789681,22.6044,0.0205072,1.65668,1.33721,7.69199,3.35963
38.5903,37.899,60.2327,1.56884,1.25468,1.43684,108.792,0.0390021,7.33665,6.64533,39.5866,1.54187,0.608416,0.790582,22.6109,0.0213101,1.65652,1.33613,7.68899,3.35282
38.5903,37.899,60.2325,1.49352,1.25413,1.43671,108.78,0.0380415,7.33665,6.64533,39.5863,1.46656,0.607869,0.790451,22.5984,0.0206794,1.65673,1.33687,7.69338,3.35742
38.5903,37.899,60.2325,1.49112,1.25442,1.43675,108.785,0.0378474,7.33665,6.64533,39.5863,1.46415,0.608166,0.790487,22.6038,0.0208757,1.65665,1.33689,7.6915,3.35757
38.5903,37.899,60.2329,1.58253,1.25488,1.43731,108.777,0.0382889,7.33665,6.64533,39.5867,1.55556,0.608617,0.791051,22.5956,0.0211661,1.65675,1.336,7.69369,3.35198
38.5903,37.899,60.2327,1.43812,1.25466,1.43697,108.796,0.0374145,7.33665,6.64533,39.5865,1.41115,0.608405,0.790708,22.6143,0.0202329,1.65649,1.3374,7.68818,3.36079
38.5903,37.899,60.2355,0.871073,1.26176,1.44112,108.901,0.0307337,7.33665,6.64533,39.5894,0.844108,0.615496,0.794864,22.7194,0.017831,1.65487,1.34288,7.65193,3.39564
38.5903,37.899,60.2366,0.876473,1.26548,1.44332,108.954,0.030531,7.33665,6.64533,39.5905,0.849509,0.619217,0.797063,22.773,0.0177633,1.65399,1.34282,7.63313,3.39523
38.5903,37.899,60.2364,0.870207,1.26384,1.44222,108.938,0.030747,7.33665,6.64533,39.5903,0.843242,0.617576,0.795957,22.7561,0.0177326,1.65428,1.34288,7.63935,3.39564
38.5903,37.899,60.237,0.888534,1.26581,1.44342,108.965,0.0306243,7.33665,6.64533,39.5909,0.861569,0.619547,0.797158,22.7832,0.0177534,1.65383,1.3427,7.62977,3.39446
38.5903,37.899,60.2374,0.859708,1.26656,1.44373,108.993,0.0303501,7.33665,6.64533,39.5912,0.832743,0.620303,0.797471,22.8114,0.0176788,1.6534,1.34298,7.62059,3.39623
38.5903,37.899,60.2379,0.884664,1.26789,1.44455,109.008,0.0306756,7.33665,6.64533,39.5917,0.857699,0.621632,0.79829,22.8269,0.0177346,1.65313,1.34273,7.61503,3.39464
38.5903,37.899,60.2378,0.905739,1.2679,1.44458,109.032,0.0305964,7.33665,6.64533,39.5917,0.878774,0.621645,0.798318,22.8509,0.0177594,1.65278,1.34252,7.60749,3.39333
38.5903,37.899,60.2382,0.884848,1.26818,1.44446,109.015,0.0307517,7.33665,6.64533,39.5921,0.857883,0.621917,0.798202,22.8339,0.0177269,1.65303,1.34272,7.61276,3.39461
38.5903,37.899,60.238,0.881032,1.26771,1.44428,109.024,0.0304957,7.33665,6.64533,39.5919,0.854067,0.62145,0.798018,22.8427,0.0176989,1.65291,1.34276,7.61022,3.39486
38.5903,37.899,60.2379,0.849536,1.26799,1.44442,108.995,0.0303302,7.33665,6.64533,39.5918,0.822572,0.621729,0.798156,22.8132,0.0175957,1.65334,1.34307,7.6194,3.39683
38.5903,37.899,60.2385,0.826892,1.26874,1.4448,109.061,0.0302573,7.33665,6.64533,39.5923,0.799927,0.622484,0.798536,22.879,0.0175323,1.65235,1.34329,7.59842,3.39822
38.5903,37.899,60.2386,0.876446,1.26907,1.44488,109.024,0.0303465,7.33665,6.64533,39.5924,0.849481,0.622815,0.798621,22.8428,0.0176955,1.65288,1.3428,7.60959,3.39511
38.5903,37.899,60.239,0.85339,1.27012,1.44551,109.063,0.0304619,7.33665,6.64533,39.5928,0.826425,0.623857,0.799251,22.8812,0.0176239,1.65229,1.34302,7.59708,3.39653
38.5903,37.899,60.2389,0.873171,1.27011,1.4456,109.061,0.0303053,7.33665,6.64533,39.5927,0.846207,0.623851,0.799344,22.8791,0.0176349,1.65232,1.34283,7.5977,3.3953
38.5903,37.899,60.2393,0.854986,1.27148,1.44641,109.073,0.0304593,7.33665,6.64533,39.5931,0.828022,0.625221,0.800152,22.8911,0.0176219,1.65211,1.343,7.59328,3.39641
38.5903,37.899,60.2395,0.851906,1.2715,1.44641,109.064,0.0304069,7.33665,6.64533,39.5933,0.824941,0.625245,0.80015,22.8829,0.0176341,1.65223,1.34303,7.59581,3.39659
38.5903,37.899,60.239,0.86764,1.27087,1.44623,109.047,0.0301964,7.33665,6.64533,39.5928,0.840675,0.624608,0.799971,22.8653,0.0176393,1.6525,1.34288,7.60157,3.39564
38.5903,37.899,60.2395,0.870854,1.27165,1.44647,109.092,0.0301671,7.33665,6.64533,39.5933,0.843889,0.625388,0.800215,22.9104,0.0176294,1.65182,1.34285,7.58717,3.39541
38.5903,37.899,60.2393,0.862221,1.27167,1.44644,109.102,0.0304913,7.33665,6.64533,39.5932,0.835256,0.625412,0.800183,22.9207,0.0176127,1.65167,1.34293,7.58398,3.39596
38.5903,37.899,60.2395,0.850801,1.27156,1.44634,109.088,0.0301701,7.33665,6.64533,39.5934,0.823836,0.625301,0.800085,22.9069,0.0175871,1.65188,1.34304,7.58835,3.39666
38.5903,37.899,60.2399,0.857001,1.27237,1.44661,109.116,0.0303724,7.33665,6.64533,39.5937,0.830036,0.626114,0.800347,22.9344,0.0176034,1.65145,1.34298,7.57945,3.39625
38.5903,37.899,60.2403,0.886262,1.2735,1.44731,109.137,0.0305481,7.33665,6.64533,39.5941,0.859297,0.627242,0.801051,22.9552,0.017664,1.65112,1.34269,7.5724,3.3944
38.5903,37.899,60.2399,0.877558,1.27213,1.44654,109.099,0.0303344,7.33665,6.64533,39.5937,0.850593,0.625872,0.800278,22.9174,0.0176233,1.65171,1.34278,7.58481,3.39496
38.5903,37.899,60.2401,0.931856,1.27266,1.44682,109.099,0.0308713,7.33665,6.64533,39.5939,0.904892,0.626406,0.800561,22.9175,0.0177559,1.65169,1.34225,7.58451,3.39157
38.5903,37.899,60.2405,0.851192,1.27437,1.44775,109.15,0.0302475,7.33665,6.64533,39.5943,0.824227,0.628106,0.801493,22.9689,0.0175709,1.6509,1.34303,7.56776,3.39657
38.5903,37.899,60.2407,0.868263,1.27439,1.44771,109.138,0.0303197,7.33665,6.64533,39.5945,0.841298,0.628135,0.801449,22.9569,0.0176346,1.65107,1.34286,7.57146,3.3955
38.5903,37.899,60.2405,0.894026,1.27394,1.44742,109.126,0.0304837,7.33665,6.64533,39.5943,0.867062,0.627678,0.801157,22.945,0.0176962,1.65126,1.34261,7.57539,3.3939
38.5903,37.899,60.2404,0.847165,1.27384,1.44726,109.142,0.0303021,7.33665,6.64533,39.5943,0.8202,0.627583,0.800998,22.9601,0.0175491,1.65104,1.34307,7.57081,3.39683
38.5903,37.899,60.2402,0.886144,1.27327,1.44701,109.114,0.0304008,7.33665,6.64533,39.594,0.85918,0.627011,0.800753,22.9326,0.0176673,1.65146,1.34269,7.57957,3.39441
38.5903,37.899,60.2404,0.899546,1.27407,1.4476,109.15,0.0304551,7.33665,6.64533,39.5942,0.872582,0.627811,0.801338,22.9689,0.0176721,1.6509,1.34256,7.56787,3.39356
38.5903,37.899,60.2403,0.919774,1.27352,1.44727,109.144,0.030575,7.33665,6.64533,39.5941,0.89281,0.627261,0.801015,22.9626,0.0177421,1.65101,1.34236,7.57009,3.39231
38.5903,37.899,60.2405,0.890251,1.27411,1.4476,109.168,0.030292,7.33665,6.64533,39.5943,0.863286,0.627854,0.801342,22.9865,0.0176527,1.65064,1.34265,7.56241,3.39414
38.5903,37.899,60.2407,0.828858,1.27452,1.44776,109.178,0.0300977,7.33665,6.64533,39.5946,0.801894,0.628262,0.801502,22.9968,0.0175041,1.65049,1.34324,7.55911,3.39795
38.5903,37.899,60.2408,0.850892,1.27441,1.44764,109.18,0.0302762,7.33665,6.64533,39.5946,0.823927,0.628149,0.801382,22.9985,0.0175754,1.65046,1.34303,7.55863,3.39657
38.5903,37.899,60.2408,0.862067,1.27439,1.44772,109.129,0.0301533,7.33665,6.64533,39.5946,0.835102,0.628133,0.801459,22.9471,0.0176037,1.65122,1.34292,7.57454,3.39587
38.5903,37.899,60.2408,0.883169,1.27469,1.44766,109.18,0.0305111,7.33665,6.64533,39.5947,0.856204,0.62843,0.801402,22.9985,0.0176426,1.65046,1.34271,7.55851,3.39455
38.5903,37.899,60.2408,0.926261,1.27449,1.44754,109.18,0.0304825,7.33665,6.64533,39.5946,0.899297,0.628229,0.801279,22.9985,0.0177326,1.65046,1.34229,7.55858,3.39187
38.5903,37.899,60.2412,0.845451,1.27575,1.44825,109.189,0.0301866,7.33665,6.64533,39.5951,0.818487,0.629496,0.80199,23.0073,0.0175708,1.65031,1.34308,7.55529,3.39688
38.5903,37.899,60.2409,0.855563,1.27521,1.44797,109.17,0.0301191,7.33665,6.64533,39.5947,0.828599,0.628946,0.801714,22.9883,0.0175698,1.6506,1.34298,7.56143,3.39627
38.5903,37.899,60.2409,0.928902,1.27491,1.44786,109.17,0.0303059,7.33665,6.64533,39.5947,0.901937,0.628647,0.801598,22.9883,0.0177386,1.6506,1.34227,7.56151,3.3917
38.5903,37.899,60.2412,0.900205,1.27558,1.44818,109.191,0.0302472,7.33665,6.64533,39.5951,0.87324,0.62932,0.801917,23.0091,0.0176692,1.65028,1.34254,7.5548,3.39347
38.5903,37.899,60.2414,0.888456,1.27656,1.44881,109.182,0.0304736,7.33665,6.64533,39.5952,0.861492,0.6303,0.802548,23.0003,0.0176972,1.65039,1.34266,7.55701,3.39419
38.5903,37.899,60.2412,0.858182,1.27648,1.44885,109.184,0.030212,7.33665,6.64533,39.595,0.831217,0.630226,0.802593,23.002,0.0175911,1.65036,1.34295,7.55652,3.39609
38.5903,37.899,60.2413,0.89518,1.27632,1.44866,109.17,0.0304715,7.33665,6.64533,39.5951,0.868215,0.630058,0.802404,22.9883,0.0176898,1.65057,1.34259,7.56083,3.39378
38.5903,37.899,60.2412,0.896739,1.27587,1.44842,109.191,0.0303357,7.33665,6.64533,39.5951,0.869775,0.629607,0.802164,23.0091,0.0176675,1.65027,1.34258,7.55464,3.39368
38.5903,37.899,60.2414,0.881517,1.2763,1.44864,109.191,0.0302625,7.33665,6.64533,39.5953,0.854552,0.630039,0.80238,23.0091,0.0176396,1.65026,1.34272,7.55444,3.39462
38.5903,37.899,60.2413,0.886293,1.27628,1.44866,109.182,0.030382,7.33665,6.64533,39.5952,0.859328,0.630022,0.802398,23.0003,0.0176681,1.65039,1.34268,7.55715,3.39433
38.5903,37.899,60.2418,0.868592,1.2775,1.44917,109.199,0.0303082,7.33665,6.64533,39.5956,0.841627,0.63124,0.802912,23.0179,0.017623,1.65011,1.34285,7.55119,3.3954
38.5903,37.899,60.2415,0.839964,1.27675,1.44883,109.184,0.0302825,7.33665,6.64533,39.5953,0.813,0.630494,0.802571,23.002,0.0175677,1.65036,1.34313,7.55645,3.39721
38.5903,37.899,60.2415,0.877099,1.27628,1.44849,109.18,0.0304294,7.33665,6.64533,39.5953,0.850135,0.630021,0.802231,22.9989,0.0176569,1.65042,1.34277,7.55765,3.39489
38.5903,37.899,60.2415,0.79561,1.2763,1.4485,109.18,0.0297689,7.33665,6.64533,39.5953,0.768645,0.630044,0.802241,22.9989,0.0174118,1.65042,1.34356,7.55771,3.39998
38.5903,37.899,60.2415,0.795619,1.27625,1.44848,109.179,0.0297688,7.33665,6.64533,39.5953,0.768655,0.629994,0.80222,22.9971,0.0174118,1.65045,1.34356,7.55827,3.39998
38.5903,37.899,60.2415,0.795604,1.27627,1.44849,109.179,0.0297687,7.33665,6.64533,39.5953,0.76864,0.630009,0.802226,22.9971,0.0174118,1.65045,1.34356,7.55827,3.39998
38.5903,37.899,60.2415,0.795616,1.27627,1.44848,109.179,0.0297688,7.33665,6.64533,39.5953,0.768651,0.630008,0.802225,22.9971,0.0174118,1.65045,1.34356,7.55827,3.39998
38.5903,37.899,60.2415,0.795604,1.27633,1.44851,109.179,0.0297687,7.33665,6.64533,39.5953,0.76864,0.630067,0.802249,22.9971,0.0174117,1.65045,1.34356,7.55824,3.39998
38.5903,37.899,60.2415,0.795604,1.27628,1.44849,109.179,0.0297691,7.33665,6.64533,39.5953,0.76864,0.630016,0.802228,22.9971,0.0174121,1.65045,1.34356,7.55826,3.39998
38.5903,37.899,60.2415,0.795606,1.27624,1.44847,109.179,0.0297693,7.33665,6.64533,39.5953,0.768642,0.629986,0.802215,22.9971,0.0174122,1.65045,1.34356,7.55828,3.39998
