1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.011572,-0.043826,-0.021336,-0.083134,-0.028017,-0.066641,-0.082695,-0.004714,0.496160,0.548095,0.512226,0.569105,0.542389,0.558766,0.689484,0.610694
-0.015929,-0.043795,-0.025227,-0.083755,-0.025616,-0.065227,-0.084417,-0.005259,0.490971,0.546616,0.514022,0.573107,0.541914,0.559307,0.689766,0.612094
-0.014787,-0.045420,-0.022767,-0.082134,-0.026359,-0.067384,-0.085989,-0.005117,0.493054,0.547708,0.513860,0.569093,0.543674,0.558734,0.690010,0.611125
-0.018791,-0.040604,-0.021470,-0.085867,-0.026929,-0.063447,-0.086094,-0.002674,0.489245,0.547129,0.512594,0.568699,0.543219,0.558859,0.691213,0.609729
-0.010144,-0.045467,-0.022352,-0.080143,-0.029989,-0.067962,-0.085250,-0.003225,0.493567,0.545304,0.512117,0.568942,0.543746,0.559817,0.690814,0.608433
-0.008672,-0.047230,-0.023657,-0.080917,-0.027720,-0.068166,-0.087378,-0.003317,0.491283,0.547355,0.512667,0.572075,0.543993,0.562366,0.690555,0.609447
-0.009002,-0.046956,-0.025061,-0.080907,-0.027944,-0.066674,-0.085422,-0.004163,0.500800,0.548227,0.513581,0.568181,0.544322,0.560524,0.691680,0.609906
-0.015015,-0.049058,-0.024075,-0.080001,-0.028281,-0.066349,-0.088830,-0.004514,0.496838,0.548110,0.513070,0.569698,0.545029,0.561982,0.691516,0.609250
-0.019008,-0.044880,-0.026683,-0.083270,-0.029986,-0.066526,-0.088385,-0.002386,0.494978,0.548594,0.514172,0.571571,0.544940,0.561503,0.689768,0.608515
-0.012818,-0.041645,-0.024795,-0.082796,-0.029868,-0.067985,-0.088377,-0.002023,0.488205,0.548657,0.513316,0.571325,0.544872,0.561864,0.690167,0.608149
-0.013317,-0.045247,-0.023004,-0.083845,-0.030007,-0.065669,-0.090270,-0.002535,0.496511,0.550002,0.512974,0.569478,0.545663,0.563032,0.688919,0.609238
-0.012769,-0.045323,-0.020610,-0.088046,-0.029820,-0.065741,-0.090364,-0.001480,0.496139,0.550366,0.512660,0.569023,0.548167,0.561990,0.691099,0.608401
-0.020497,-0.046860,-0.026563,-0.087642,-0.031540,-0.066074,-0.088967,-0.001952,0.498709,0.552048,0.512831,0.570560,0.551566,0.560910,0.689422,0.609276
-0.020686,-0.047308,-0.027044,-0.084155,-0.029146,-0.064917,-0.091347,-0.001571,0.493543,0.548588,0.513475,0.570406,0.549590,0.561217,0.690800,0.608534
-0.013845,-0.046734,-0.024312,-0.083439,-0.029882,-0.063688,-0.091333,-0.001963,0.494432,0.548479,0.511653,0.569430,0.551154,0.562542,0.689900,0.607822
-0.021016,-0.045913,-0.022894,-0.088377,-0.030377,-0.061856,-0.091408,-0.001582,0.498290,0.549919,0.512447,0.568970,0.551817,0.560049,0.692024,0.607791
-0.013016,-0.040310,-0.023417,-0.081512,-0.030636,-0.066336,-0.092041,-0.001043,0.499201,0.550691,0.512545,0.569112,0.553653,0.561272,0.690360,0.607920
-0.012447,-0.048408,-0.024389,-0.086929,-0.030197,-0.067002,-0.092997,-0.002557,0.497485,0.545898,0.512749,0.570206,0.551711,0.561402,0.691698,0.607780
-0.014273,-0.042791,-0.026863,-0.087386,-0.032456,-0.066835,-0.093253,0.000441,0.491042,0.550220,0.512043,0.568557,0.555937,0.563496,0.691619,0.605129
-0.017458,-0.046586,-0.027715,-0.083294,-0.030671,-0.064506,-0.092767,-0.002120,0.495210,0.548649,0.513111,0.566925,0.554645,0.561332,0.691763,0.607137
-0.015144,-0.047163,-0.024415,-0.083629,-0.033117,-0.063995,-0.092872,-0.000409,0.499382,0.549498,0.511845,0.567885,0.555732,0.560578,0.688302,0.605896
-0.017625,-0.044462,-0.023373,-0.082653,-0.031667,-0.062303,-0.092626,-0.000583,0.495791,0.547261,0.512152,0.567450,0.554358,0.559985,0.690150,0.605338
-0.015636,-0.047585,-0.026732,-0.088619,-0.030041,-0.061483,-0.094392,-0.000667,0.497905,0.548515,0.514497,0.566371,0.552987,0.562542,0.691804,0.605618
-0.009759,-0.044823,-0.022285,-0.084926,-0.032716,-0.064264,-0.094182,-0.000898,0.491910,0.551066,0.512624,0.567992,0.555526,0.565417,0.691040,0.605948
-0.020456,-0.046301,-0.024520,-0.086234,-0.031455,-0.062701,-0.095101,0.001697,0.492793,0.550509,0.512363,0.569277,0.558288,0.563709,0.690883,0.606294
-0.022914,-0.048779,-0.021880,-0.084050,-0.032995,-0.060834,-0.094733,0.000811,0.492025,0.549395,0.513099,0.570262,0.558854,0.562505,0.689844,0.606299
-0.014562,-0.044539,-0.023531,-0.087785,-0.033019,-0.063574,-0.095327,0.000214,0.495548,0.550773,0.512502,0.569916,0.559612,0.561997,0.691164,0.606943
-0.016219,-0.043464,-0.022733,-0.086154,-0.032561,-0.063809,-0.094208,-0.000218,0.488796,0.549869,0.512330,0.570616,0.559823,0.562789,0.690085,0.606353
-0.013627,-0.044729,-0.023863,-0.087801,-0.031305,-0.063574,-0.095138,-0.000508,0.496736,0.550139,0.512868,0.569480,0.559912,0.565195,0.689678,0.605416
-0.020771,-0.048890,-0.022914,-0.089840,-0.033358,-0.062347,-0.095008,0.000583,0.492795,0.551138,0.513834,0.571956,0.562577,0.562871,0.690324,0.605205
-0.013784,-0.041349,-0.023380,-0.087393,-0.032737,-0.060282,-0.095770,0.000049,0.492380,0.549141,0.512557,0.573746,0.560065,0.561661,0.690106,0.605014
-0.011880,-0.046678,-0.024807,-0.085323,-0.033023,-0.059615,-0.095979,0.000661,0.495959,0.551171,0.512117,0.570849,0.560423,0.562419,0.689978,0.604268
-0.008835,-0.038447,-0.025915,-0.091372,-0.030946,-0.062504,-0.095511,-0.000638,0.493165,0.550915,0.512801,0.576429,0.561813,0.561871,0.691071,0.604604
-0.021669,-0.040687,-0.024809,-0.088206,-0.032760,-0.062662,-0.096036,0.000481,0.495832,0.554349,0.513196,0.573058,0.558753,0.561634,0.690669,0.605078
-0.020362,-0.046995,-0.023879,-0.091670,-0.034961,-0.059949,-0.096441,0.000700,0.495700,0.553423,0.512628,0.574182,0.561912,0.562109,0.691337,0.605601
-0.016335,-0.049030,-0.024943,-0.088882,-0.032954,-0.062757,-0.096179,0.000615,0.495631,0.551322,0.514228,0.571787,0.561142,0.561470,0.691311,0.603954
-0.012798,-0.044474,-0.025761,-0.091723,-0.033248,-0.061696,-0.096366,0.001193,0.497340,0.548246,0.514811,0.574173,0.560392,0.561440,0.689906,0.603734
-0.015920,-0.046958,-0.021721,-0.086684,-0.035712,-0.063465,-0.098381,0.000917,0.498876,0.548416,0.514334,0.571921,0.565053,0.564338,0.690000,0.605218
-0.018361,-0.044700,-0.026315,-0.092266,-0.032514,-0.062357,-0.097753,0.000029,0.494416,0.550134,0.517448,0.579262,0.562766,0.563744,0.688965,0.604770
-0.014328,-0.042953,-0.028367,-0.089031,-0.033473,-0.063496,-0.097955,0.001066,0.498814,0.550730,0.515416,0.578380,0.562469,0.562674,0.690794,0.603851
-0.015819,-0.041982,-0.028131,-0.091663,-0.030742,-0.062158,-0.098743,0.001213,0.494338,0.552358,0.515017,0.580099,0.562827,0.563468,0.691788,0.602745
-0.013223,-0.048848,-0.025796,-0.089778,-0.032208,-0.063768,-0.099340,0.000437,0.500085,0.553400,0.515342,0.581781,0.562430,0.561026,0.691566,0.602421
-0.014276,-0.040688,-0.024020,-0.091577,-0.033699,-0.063419,-0.098043,0.002153,0.490563,0.549915,0.515148,0.578138,0.564927,0.560891,0.691453,0.603637
-0.010658,-0.040658,-0.026009,-0.089574,-0.035339,-0.061889,-0.099457,0.002018,0.493884,0.547332,0.516020,0.577856,0.563581,0.560520,0.693221,0.602810
-0.014194,-0.044726,-0.022741,-0.090073,-0.035042,-0.062494,-0.098945,0.001287,0.499237,0.546176,0.513819,0.579408,0.566483,0.560271,0.691595,0.602532
-0.016586,-0.041274,-0.028287,-0.094594,-0.034581,-0.062293,-0.100079,0.000599,0.500635,0.548252,0.514806,0.575246,0.569542,0.560753,0.690599,0.603406
-0.013569,-0.044473,-0.026788,-0.093486,-0.036162,-0.061261,-0.100216,0.001682,0.494648,0.547800,0.514168,0.577641,0.568672,0.560343,0.692135,0.602679
-0.012469,-0.051225,-0.023541,-0.091172,-0.034245,-0.062571,-0.100009,0.001763,0.491042,0.550592,0.514196,0.584458,0.568811,0.561434,0.690025,0.603285
-0.020687,-0.048269,-0.025340,-0.091645,-0.036437,-0.059412,-0.100931,0.001903,0.493805,0.549752,0.515718,0.583178,0.570658,0.560980,0.690437,0.601895
-0.012556,-0.045252,-0.025635,-0.093042,-0.036505,-0.061071,-0.100325,0.001705,0.487768,0.549977,0.514980,0.581786,0.570360,0.563625,0.688884,0.603583
-0.020691,-0.043119,-0.025417,-0.097018,-0.037182,-0.062856,-0.099486,0.001008,0.490183,0.550966,0.514240,0.583622,0.570566,0.563552,0.690587,0.603201
-0.015750,-0.047546,-0.025193,-0.093132,-0.035957,-0.062144,-0.100156,0.002595,0.498846,0.551446,0.514454,0.584637,0.570550,0.562877,0.690274,0.603078
-0.019804,-0.046493,-0.025971,-0.097009,-0.034126,-0.060198,-0.101453,0.002545,0.494188,0.549875,0.514617,0.585341,0.566612,0.563337,0.689633,0.602441
-0.016452,-0.045093,-0.024277,-0.093302,-0.035391,-0.060733,-0.102124,0.003459,0.496919,0.546612,0.515260,0.583246,0.568791,0.564538,0.690584,0.604098
-0.022078,-0.045995,-0.026334,-0.095343,-0.035793,-0.060313,-0.100760,0.003631,0.496343,0.548520,0.515132,0.583770,0.568932,0.562769,0.689838,0.601858
-0.017667,-0.044840,-0.025818,-0.094854,-0.035555,-0.063129,-0.102019,0.003487,0.492182,0.551525,0.515118,0.589049,0.567026,0.564160,0.691391,0.601793
-0.021261,-0.043413,-0.023550,-0.096352,-0.037725,-0.062474,-0.100792,0.003278,0.501087,0.551993,0.513247,0.586817,0.576407,0.563142,0.692063,0.601938
-0.018895,-0.042883,-0.025526,-0.098236,-0.034828,-0.063755,-0.101113,0.001879,0.493502,0.549884,0.515078,0.587959,0.569877,0.563626,0.690240,0.603285
-0.006561,-0.045647,-0.026257,-0.099701,-0.035820,-0.062556,-0.102165,0.002995,0.481796,0.550434,0.515981,0.588963,0.568255,0.562593,0.689834,0.602342
-0.012041,-0.045497,-0.024638,-0.099227,-0.033085,-0.060690,-0.102644,0.002101,0.492512,0.551587,0.513592,0.584627,0.566553,0.561976,0.690561,0.602893
-0.016123,-0.042351,-0.025318,-0.093512,-0.036788,-0.063164,-0.101723,0.003931,0.495331,0.548760,0.512963,0.582470,0.567398,0.563365,0.691200,0.601644
-0.011652,-0.042901,-0.024249,-0.096735,-0.033088,-0.059937,-0.102561,0.002727,0.495474,0.551309,0.513691,0.582263,0.566848,0.562471,0.691435,0.601029
-0.011919,-0.041004,-0.026648,-0.094704,-0.035470,-0.060839,-0.102461,0.002885,0.489278,0.551788,0.515128,0.581912,0.569327,0.561912,0.690978,0.601019
-0.013308,-0.045514,-0.025854,-0.094140,-0.034804,-0.062184,-0.102281,0.003107,0.494427,0.555236,0.513376,0.583374,0.568054,0.561565,0.690015,0.600840
-0.017609,-0.043378,-0.025032,-0.098042,-0.035783,-0.061471,-0.102216,0.002890,0.492540,0.553942,0.514721,0.583349,0.572717,0.561930,0.690882,0.602725
-0.020476,-0.045676,-0.025022,-0.090760,-0.036017,-0.063413,-0.102077,0.003202,0.489685,0.549147,0.514527,0.581516,0.571655,0.562065,0.689361,0.601357
-0.008491,-0.038421,-0.025108,-0.094799,-0.034968,-0.059946,-0.103491,0.004276,0.487902,0.548444,0.515568,0.587833,0.571369,0.562779,0.691497,0.600489
-0.012882,-0.042146,-0.026975,-0.099212,-0.033936,-0.064066,-0.104838,0.005689,0.493226,0.551624,0.515933,0.590367,0.573289,0.564053,0.691838,0.598886
