Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241803,0.0722374,0.0744052,0.216149,0.00075347,0.163013,0.102567,1.40487,0.00241096,0.0225204,0.0246883,0.189603,0.000753379,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00241096,0.000548211,0.0349642,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000753379,0.0324979
2,15.3154,15.1184,12.7284,0.022148,0.479911,0.531897,7.78222,0.0046688,3.72925,3.53229,10.97,0.0218328,0.190135,0.242121,6.79855,0.000291332,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.97,0.0218328,0.0166535,0.261476,0.150922,0.019859,0.00857674,0.568926,6.79855,0.000291332,0.987218
3,4.27745,4.19172,8.22702,0.0451847,0.159078,0.182936,4.87471,0.00498373,0.944329,0.858603,7.31933,0.0445543,0.0726263,0.0964838,2.91473,0.000621094,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.31933,0.0445543,0.033024,0.108482,0.0520332,0.00859526,0.00772333,0.170495,2.91473,0.000621094,1.95766
4,6.35421,6.18922,8.76909,0.0910426,0.271438,0.316287,9.86747,0.0049822,1.23664,1.07165,7.32122,0.0897818,0.144718,0.189567,5.94856,0.00123806,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32122,0.0897818,0.0660076,0.219968,0.0937089,0.0172633,0.0124334,0.252982,5.94856,0.00123806,3.91293
5,1.58753,1.52696,8.00344,0.159051,0.0884021,0.104381,10.0442,0.00432393,0.329358,0.268787,6.27983,0.156529,0.0553249,0.0713035,2.20852,0.00213202,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27983,0.156529,0.131944,0.0883599,0.0312929,0.00636142,0.0189433,0.0731621,2.20852,0.00213202,7.82167
6,2.56373,2.44491,9.59155,0.339722,0.153737,0.18815,19.9823,0.00447368,0.558469,0.439642,6.27934,0.334679,0.105693,0.140105,4.31136,0.00435389,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27934,0.334679,0.263879,0.170588,0.0607241,0.0126027,0.0343206,0.113978,4.31136,0.00435389,15.6427
7,0.457157,0.453776,10.9048,0.759353,0.0288364,0.0322887,56.1921,0.0109866,0.373275,0.369893,0.014339,0.742187,0.0168232,0.0202755,0.474308,0.0107665,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014339,0.742187,0.9382,0.0166215,0.0190498,0.0012414,0.117924,0.051401,0.474308,0.0107665,55.6165
8,0.029227,0.0287981,0.0197225,0.00701659,0.000547454,0.000609975,0.0685728,1.49099e-05,0.00231792,0.00188896,0.00210721,0.00699564,8.86186e-05,0.000151139,0.000551923,1.46412e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00210721,0.00699564,0.00114542,0.000108226,0.000100693,1.92136e-05,0.000334018,0.000757692,0.000551923,1.46412e-05,0.0679006
Total,38.5903,37.899,60.2372,1.42594,1.25419,1.43095,109.028,0.0351873,7.33665,6.64533,39.5911,1.39897,0.607929,0.784695,22.8462,0.020171,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5911,1.39897,1.4514,0.900567,0.41761,0.0684082,0.202992,1.32247,22.8462,0.020171,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65319,0.00723838,1.33747,7.61678,0.0181911,3.36126
