Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00242553,0.0722235,0.0743914,0.216149,0.000780148,0.163013,0.102567,1.40487,0.00241846,0.0225065,0.0246744,0.189603,0.000780058,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00241846,0.000548211,0.0349365,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000780058,0.0324979
2,15.3154,15.1184,12.729,0.0252267,0.483495,0.534038,7.83728,0.00600695,3.72925,3.53229,10.9707,0.0249115,0.19372,0.244262,6.85361,0.000374967,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9707,0.0249115,0.0166535,0.26714,0.150922,0.0199203,0.00857674,0.568926,6.85361,0.000374967,0.987218
3,4.27745,4.19172,8.23026,0.0496247,0.167532,0.188428,4.99459,0.00574259,0.944329,0.858603,7.32257,0.0489943,0.08108,0.101976,3.03461,0.000715952,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32257,0.0489943,0.033024,0.122302,0.0520332,0.00872112,0.00772333,0.170495,3.03461,0.000715952,1.95766
4,6.35421,6.18922,8.76716,0.0975451,0.272844,0.321228,9.72357,0.00502864,1.23664,1.07165,7.31929,0.0962843,0.146124,0.194508,5.80465,0.00124967,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31929,0.0962843,0.0660076,0.226467,0.0937089,0.017113,0.0124334,0.252982,5.80465,0.00124967,3.91293
5,1.58753,1.52696,8.00029,0.198214,0.0847519,0.102846,9.95606,0.00556197,0.329358,0.268787,6.27668,0.195692,0.0516746,0.0697691,2.12042,0.00275104,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27668,0.195692,0.131944,0.0832652,0.0312929,0.00627149,0.0189433,0.0731621,2.12042,0.00275104,7.82167
6,2.56373,2.44491,9.58953,0.314189,0.14883,0.185955,19.8766,0.00458577,0.558469,0.439642,6.27732,0.309145,0.100785,0.13791,4.20558,0.00446597,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27732,0.309145,0.263879,0.163601,0.0607241,0.0124873,0.0343206,0.113978,4.20558,0.00446597,15.6427
7,0.457157,0.453776,10.9047,0.86139,0.0284005,0.0320534,56.1834,0.0108618,0.373275,0.369893,0.0141711,0.844225,0.0163873,0.0200402,0.465602,0.0106417,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141711,0.844225,0.9382,0.0159588,0.0190498,0.00123287,0.117924,0.051401,0.465602,0.0106417,55.6165
8,0.029227,0.0287981,0.0197579,0.00720485,0.000548155,0.000610015,0.0685749,1.62875e-05,0.00231792,0.00188896,0.00214258,0.0071839,8.93194e-05,0.000151179,0.000554063,1.60188e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214258,0.0071839,0.00114542,0.000108939,0.000100693,1.92417e-05,0.000334018,0.000757692,0.000554063,1.60188e-05,0.0679006
Total,38.5903,37.899,60.2339,1.55582,1.25863,1.43955,108.856,0.0385842,7.33665,6.64533,39.5878,1.52885,0.612367,0.793292,22.6746,0.0209954,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5878,1.52885,1.4514,0.913779,0.41761,0.0682313,0.202992,1.32247,22.6746,0.0209954,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65548,0.00723175,1.33625,7.66661,0.0181493,3.35354
