Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241053,0.0722262,0.0743941,0.216149,0.00068177,0.163013,0.102567,1.40487,0.00240346,0.0225092,0.0246771,0.189603,0.000681679,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00240346,0.000548211,0.0349419,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000681679,0.0324979
2,15.3154,15.1184,12.7288,0.0255192,0.482576,0.533592,7.80976,0.00618105,3.72925,3.53229,10.9705,0.025204,0.1928,0.243816,6.82609,0.000385848,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.025204,0.0166535,0.265794,0.150922,0.0199002,0.00857674,0.568926,6.82609,0.000385848,0.987218
3,4.27745,4.19172,8.22975,0.051706,0.166735,0.1881,4.97063,0.00676298,0.944329,0.858603,7.32206,0.0510756,0.0802834,0.101648,3.01065,0.000843501,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32206,0.0510756,0.033024,0.121197,0.0520332,0.00870122,0.00772333,0.170495,3.01065,0.000843501,1.95766
4,6.35421,6.18922,8.76778,0.0937989,0.27497,0.322228,9.74758,0.0049668,1.23664,1.07165,7.31991,0.092538,0.14825,0.195508,5.82867,0.00123421,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31991,0.092538,0.0660076,0.229545,0.0937089,0.0171609,0.0124334,0.252982,5.82867,0.00123421,3.91293
5,1.58753,1.52696,8.00088,0.188402,0.085486,0.103184,9.97369,0.00527682,0.329358,0.268787,6.27727,0.18588,0.0524088,0.0701063,2.13805,0.00260846,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27727,0.18588,0.131944,0.0843197,0.0312929,0.00628836,0.0189433,0.0731621,2.13805,0.00260846,7.82167
6,2.56373,2.44491,9.58992,0.378797,0.149716,0.186327,19.8942,0.00517265,0.558469,0.439642,6.2777,0.373754,0.101671,0.138282,4.22322,0.00505286,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2777,0.373754,0.263879,0.164837,0.0607241,0.0125092,0.0343206,0.113978,4.22322,0.00505286,15.6427
7,0.457157,0.453776,10.9046,0.890494,0.0282587,0.0319395,56.1834,0.0110765,0.373275,0.369893,0.0141477,0.873329,0.0162454,0.0199263,0.465601,0.0108564,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141477,0.873329,0.9382,0.0157043,0.0190498,0.00123168,0.117924,0.051401,0.465601,0.0108564,55.6165
8,0.029227,0.0287981,0.0197446,0.00793348,0.000547891,0.000609999,0.0685728,1.70015e-05,0.00231792,0.00188896,0.00212932,0.00791253,8.90554e-05,0.000151163,0.00055193,1.67328e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00212932,0.00791253,0.00114542,0.000108669,0.000100693,1.92312e-05,0.000334018,0.000757692,0.00055193,1.67328e-05,0.0679006
Total,38.5903,37.899,60.2348,1.63906,1.26052,1.44037,108.864,0.0401356,7.33665,6.64533,39.5886,1.6121,0.614257,0.794116,22.6824,0.0216797,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5886,1.6121,1.4514,0.916448,0.41761,0.0682767,0.202992,1.32247,22.6824,0.0216797,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.6553,0.00722736,1.33544,7.66305,0.0181216,3.34843
