Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00170553,0.0722142,0.074382,0.216149,0.000399722,0.163013,0.102567,1.40487,0.00169846,0.0224972,0.0246651,0.189603,0.000399631,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00169846,0.000548211,0.0349178,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000399631,0.0324979
2,15.3154,15.1184,12.7289,0.0142711,0.484159,0.535044,7.80977,0.00419408,3.72925,3.53229,10.9706,0.0139559,0.194383,0.245268,6.8261,0.000261662,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0139559,0.0166535,0.268823,0.150922,0.0199058,0.00857674,0.568926,6.8261,0.000261662,0.987218
3,4.27745,4.19172,8.23265,0.0235304,0.171399,0.190109,5.07845,0.00413002,0.944329,0.858603,7.32496,0.0228999,0.0849465,0.103657,3.11847,0.000514381,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32496,0.0228999,0.033024,0.127756,0.0520332,0.00881404,0.00772333,0.170495,3.11847,0.000514381,1.95766
4,6.35421,6.18922,8.76821,0.0401851,0.276579,0.323049,9.79554,0.00368568,1.23664,1.07165,7.32034,0.0389243,0.149859,0.196329,5.87663,0.000913932,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32034,0.0389243,0.0660076,0.231941,0.0937089,0.0171944,0.0124334,0.252982,5.87663,0.000913932,3.91293
5,1.58753,1.52696,8.00146,0.0938852,0.0861655,0.103474,9.99131,0.00404231,0.329358,0.268787,6.27785,0.0913635,0.0530882,0.0703968,2.15567,0.0019912,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27785,0.0913635,0.131944,0.0852731,0.0312929,0.00630489,0.0189433,0.0731621,2.15567,0.0019912,7.82167
6,2.56373,2.44491,9.59087,0.185093,0.152261,0.187594,19.9471,0.0039619,0.558469,0.439642,6.27865,0.18005,0.104217,0.139549,4.27611,0.00384211,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27865,0.18005,0.263879,0.168595,0.0607241,0.0125635,0.0343206,0.113978,4.27611,0.00384211,15.6427
7,0.457157,0.453776,10.9048,0.512027,0.0288051,0.032275,56.1921,0.00990562,0.373275,0.369893,0.0143242,0.494862,0.0167918,0.0202618,0.474307,0.00968554,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143242,0.494862,0.9382,0.0165772,0.0190498,0.00124065,0.117924,0.051401,0.474307,0.00968554,55.6165
8,0.029227,0.0287981,0.0197877,0.0068606,0.00054874,0.000610043,0.0685771,1.51048e-05,0.00231792,0.00188896,0.00217242,0.00683964,8.99044e-05,0.000151207,0.0005562,1.48361e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00217242,0.00683964,0.00114542,0.000109528,0.000100693,1.92654e-05,0.000334018,0.000757692,0.0005562,1.48361e-05,0.0679006
Total,38.5903,37.899,60.2399,0.877558,1.27213,1.44654,109.099,0.0303344,7.33665,6.64533,39.5937,0.850593,0.625872,0.800278,22.9174,0.0176233,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5937,0.850593,1.4514,0.933992,0.41761,0.0685085,0.202992,1.32247,22.9174,0.0176233,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65171,0.00726708,1.34278,7.58481,0.0183735,3.39496
