Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00238803,0.0722269,0.0743947,0.216149,0.000608294,0.163013,0.102567,1.40487,0.00238096,0.0225099,0.0246778,0.189603,0.000608204,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00238096,0.000548211,0.0349432,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000608204,0.0324979
2,15.3154,15.1184,12.7288,0.024398,0.481851,0.532816,7.80977,0.00541956,3.72925,3.53229,10.9705,0.0240828,0.192075,0.24304,6.82609,0.000338254,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.0240828,0.0166535,0.26429,0.150922,0.0199024,0.00857674,0.568926,6.82609,0.000338254,0.987218
3,4.27745,4.19172,8.23009,0.0514979,0.167225,0.188274,4.98262,0.00652623,0.944329,0.858603,7.3224,0.0508674,0.0807731,0.101821,3.02263,0.000813907,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.3224,0.0508674,0.033024,0.121847,0.0520332,0.00871466,0.00772333,0.170495,3.02263,0.000813907,1.95766
4,6.35421,6.18922,8.76717,0.0949914,0.272341,0.320701,9.72357,0.00478658,1.23664,1.07165,7.3193,0.0937305,0.145621,0.193981,5.80465,0.00118916,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.3193,0.0937305,0.0660076,0.225435,0.0937089,0.017114,0.0124334,0.252982,5.80465,0.00118916,3.91293
5,1.58753,1.52696,7.99977,0.19258,0.0841358,0.10258,9.93843,0.00535574,0.329358,0.268787,6.27616,0.190058,0.0510585,0.0695031,2.10279,0.00264792,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27616,0.190058,0.131944,0.082398,0.0312929,0.00625661,0.0189433,0.0731621,2.10279,0.00264792,7.82167
6,2.56373,2.44491,9.58945,0.389325,0.148077,0.185319,19.8766,0.00531207,0.558469,0.439642,6.27723,0.384282,0.100032,0.137274,4.20557,0.00519228,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27723,0.384282,0.263879,0.162217,0.0607241,0.0124824,0.0343206,0.113978,4.20557,0.00519228,15.6427
7,0.457157,0.453776,10.9047,0.755231,0.0284117,0.0319919,56.1868,0.0104885,0.373275,0.369893,0.0142319,0.738066,0.0163984,0.0199787,0.469085,0.0102684,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142319,0.738066,0.9382,0.0159054,0.0190498,0.00123596,0.117924,0.051401,0.469085,0.0102684,55.6165
8,0.029227,0.0287981,0.019765,0.00784122,0.000548296,0.000610021,0.0685749,1.74721e-05,0.00231792,0.00188896,0.00214977,0.00782027,8.94599e-05,0.000151186,0.000554065,1.72034e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214977,0.00782027,0.00114542,0.00010908,0.000100693,1.92474e-05,0.000334018,0.000757692,0.000554065,1.72034e-05,0.0679006
Total,38.5903,37.899,60.233,1.51825,1.25482,1.43669,108.803,0.0385144,7.33665,6.64533,39.5869,1.49129,0.608557,0.790427,22.621,0.0210753,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5869,1.49129,1.4514,0.907144,0.41761,0.0681912,0.202992,1.32247,22.621,0.0210753,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65638,0.00723376,1.33662,7.68582,0.018162,3.35588
