Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00208803,0.0722225,0.0743903,0.216149,0.000466023,0.163013,0.102567,1.40487,0.00208096,0.0225055,0.0246734,0.189603,0.000465933,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00208096,0.000548211,0.0349344,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000465933,0.0324979
2,15.3154,15.1184,12.7289,0.00965112,0.483083,0.534015,7.80977,0.0041143,3.72925,3.53229,10.9705,0.00933591,0.193307,0.244239,6.8261,0.000256676,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.00933591,0.0166535,0.266721,0.150922,0.0199038,0.00857674,0.568926,6.8261,0.000256676,0.987218
3,4.27745,4.19172,8.23123,0.0292116,0.169141,0.189147,5.03054,0.00438431,0.944329,0.858603,7.32354,0.0285812,0.0826891,0.102695,3.07055,0.000546167,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32354,0.0285812,0.033024,0.124592,0.0520332,0.00875899,0.00772333,0.170495,3.07055,0.000546167,1.95766
4,6.35421,6.18922,8.76759,0.0400539,0.274332,0.321937,9.74757,0.00373616,1.23664,1.07165,7.31972,0.038793,0.147612,0.195217,5.82865,0.000926552,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31972,0.038793,0.0660076,0.22863,0.0937089,0.0171461,0.0124334,0.252982,5.82865,0.000926552,3.91293
5,1.58753,1.52696,8.0006,0.0828902,0.0851278,0.103012,9.96488,0.00405429,0.329358,0.268787,6.27699,0.0803685,0.0520506,0.0699349,2.12924,0.0019972,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27699,0.0803685,0.131944,0.083798,0.0312929,0.00628042,0.0189433,0.0731621,2.12924,0.0019972,7.82167
6,2.56373,2.44491,9.58954,0.172639,0.148842,0.185966,19.8766,0.00403008,0.558469,0.439642,6.27732,0.167596,0.100798,0.137921,4.20558,0.00391028,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27732,0.167596,0.263879,0.163624,0.0607241,0.0124874,0.0343206,0.113978,4.20558,0.00391028,15.6427
7,0.457157,0.453776,10.9047,0.527724,0.0284579,0.0320455,56.1868,0.00993303,0.373275,0.369893,0.0142258,0.510559,0.0164447,0.0200323,0.469085,0.00971296,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142258,0.510559,0.9382,0.0160056,0.0190498,0.00123565,0.117924,0.051401,0.469085,0.00971296,55.6165
8,0.029227,0.0287981,0.0197639,0.00681414,0.000548274,0.00061002,0.0685749,1.54838e-05,0.00231792,0.00188896,0.00214866,0.00679318,8.94379e-05,0.000151184,0.000554065,1.52151e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214866,0.00679318,0.00114542,0.000109058,0.000100693,1.92465e-05,0.000334018,0.000757692,0.000554065,1.52151e-05,0.0679006
Total,38.5903,37.899,60.2355,0.871073,1.26176,1.44112,108.901,0.0307337,7.33665,6.64533,39.5894,0.844108,0.615496,0.794864,22.7194,0.017831,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5894,0.844108,1.4514,0.918414,0.41761,0.0682975,0.202992,1.32247,22.7194,0.017831,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65487,0.00726766,1.34288,7.65193,0.0183771,3.39564
