Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00243303,0.0722246,0.0743924,0.216149,0.000623015,0.163013,0.102567,1.40487,0.00242596,0.0225076,0.0246754,0.189603,0.000622924,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00242596,0.000548211,0.0349386,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000622924,0.0324979
2,15.3154,15.1184,12.7289,0.025238,0.482329,0.533281,7.80977,0.00647317,3.72925,3.53229,10.9705,0.0249228,0.192553,0.243505,6.82609,0.000404105,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.0249228,0.0166535,0.265234,0.150922,0.0199029,0.00857674,0.568926,6.82609,0.000404105,0.987218
3,4.27745,4.19172,8.22902,0.0486854,0.165493,0.187522,4.94666,0.00550161,0.944329,0.858603,7.32133,0.0480549,0.0790412,0.10107,2.98667,0.000685829,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32133,0.0480549,0.033024,0.119404,0.0520332,0.008673,0.00772333,0.170495,2.98667,0.000685829,1.95766
4,6.35421,6.18922,8.76742,0.0967839,0.273498,0.321412,9.72359,0.00497868,1.23664,1.07165,7.31955,0.095523,0.146778,0.194692,5.80467,0.00123718,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31955,0.095523,0.0660076,0.227284,0.0937089,0.017133,0.0124334,0.252982,5.80467,0.00123718,3.91293
5,1.58753,1.52696,8.00005,0.20004,0.0844652,0.102717,9.94725,0.00575855,0.329358,0.268787,6.27645,0.197519,0.0513879,0.0696402,2.11161,0.00284933,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27645,0.197519,0.131944,0.0828563,0.0312929,0.00626478,0.0189433,0.0731621,2.11161,0.00284933,7.82167
6,2.56373,2.44491,9.58915,0.374481,0.147609,0.185248,19.8589,0.00507643,0.558469,0.439642,6.27694,0.369438,0.0995641,0.137204,4.18793,0.00495664,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27694,0.369438,0.263879,0.161695,0.0607241,0.0124655,0.0343206,0.113978,4.18793,0.00495664,15.6427
7,0.457157,0.453776,10.9046,0.776464,0.0281146,0.0318309,56.1816,0.0105823,0.373275,0.369893,0.014118,0.759299,0.0161014,0.0198177,0.463859,0.0103622,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014118,0.759299,0.9382,0.0154532,0.0190498,0.00123018,0.117924,0.051401,0.463859,0.0103622,55.6165
8,0.029227,0.0287981,0.0197689,0.00732444,0.000548373,0.000610027,0.0685749,1.6787e-05,0.00231792,0.00188896,0.00215364,0.00730349,8.95379e-05,0.000151192,0.000554066,1.65184e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00215364,0.00730349,0.00114542,0.000109161,0.000100693,1.92505e-05,0.000334018,0.000757692,0.000554066,1.65184e-05,0.0679006
Total,38.5903,37.899,60.2321,1.53145,1.25428,1.43701,108.753,0.0390105,7.33665,6.64533,39.5859,1.50448,0.608023,0.790755,22.571,0.0211347,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5859,1.50448,1.4514,0.906974,0.41761,0.0681546,0.202992,1.32247,22.571,0.0211347,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65712,0.00723312,1.3365,7.70189,0.0181579,3.35513
