Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00176553,0.072214,0.0743819,0.216149,0.000399405,0.163013,0.102567,1.40487,0.00175846,0.022497,0.0246649,0.189603,0.000399315,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00175846,0.000548211,0.0349175,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000399315,0.0324979
2,15.3154,15.1184,12.7289,0.0161274,0.484134,0.535047,7.80977,0.00428545,3.72925,3.53229,10.9706,0.0158122,0.194358,0.245271,6.8261,0.000267373,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0158122,0.0166535,0.268802,0.150922,0.0199046,0.00857674,0.568926,6.8261,0.000267373,0.987218
3,4.27745,4.19172,8.23259,0.0346904,0.171301,0.190068,5.07845,0.00440698,0.944329,0.858603,7.3249,0.0340599,0.0848493,0.103616,3.11847,0.000549001,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.3249,0.0340599,0.033024,0.12762,0.0520332,0.00881166,0.00772333,0.170495,3.11847,0.000549001,1.95766
4,6.35421,6.18922,8.76836,0.0455889,0.277166,0.323356,9.79555,0.00373381,1.23664,1.07165,7.32049,0.044328,0.150446,0.196636,5.87664,0.000925965,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32049,0.044328,0.0660076,0.232823,0.0937089,0.0172063,0.0124334,0.252982,5.87664,0.000925965,3.91293
5,1.58753,1.52696,8.00154,0.109795,0.0862556,0.103509,9.99131,0.00412257,0.329358,0.268787,6.27793,0.107273,0.0531784,0.0704322,2.15568,0.00203134,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27793,0.107273,0.131944,0.0853963,0.0312929,0.00630722,0.0189433,0.0731621,2.15568,0.00203134,7.82167
6,2.56373,2.44491,9.59086,0.180831,0.152257,0.187598,19.9471,0.00395199,0.558469,0.439642,6.27865,0.175788,0.104212,0.139554,4.27611,0.0038322,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27865,0.175788,0.263879,0.168596,0.0607241,0.0125632,0.0343206,0.113978,4.27611,0.0038322,15.6427
7,0.457157,0.453776,10.9048,0.536306,0.0287876,0.0322505,56.1921,0.00995622,0.373275,0.369893,0.0143301,0.519141,0.0167744,0.0202373,0.474307,0.00973615,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143301,0.519141,0.9382,0.0165349,0.0190498,0.00124095,0.117924,0.051401,0.474307,0.00973615,55.6165
8,0.029227,0.0287981,0.0197877,0.00675225,0.00054874,0.000610043,0.0685771,1.4873e-05,0.00231792,0.00188896,0.00217242,0.0067313,8.99041e-05,0.000151207,0.0005562,1.46044e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00217242,0.0067313,0.00114542,0.000109527,0.000100693,1.92654e-05,0.000334018,0.000757692,0.0005562,1.46044e-05,0.0679006
Total,38.5903,37.899,60.2401,0.931856,1.27266,1.44682,109.099,0.0308713,7.33665,6.64533,39.5939,0.904892,0.626406,0.800561,22.9175,0.0177559,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5939,0.904892,1.4514,0.934799,0.41761,0.0685191,0.202992,1.32247,22.9175,0.0177559,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65169,0.00726421,1.34225,7.58451,0.0183551,3.39157
