Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00243303,0.0722266,0.0743944,0.216149,0.000684216,0.163013,0.102567,1.40487,0.00242596,0.0225096,0.0246774,0.189603,0.000684125,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00242596,0.000548211,0.0349425,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000684125,0.0324979
2,15.3154,15.1184,12.7289,0.0242742,0.482711,0.533541,7.80977,0.00541954,3.72925,3.53229,10.9706,0.023959,0.192935,0.243765,6.8261,0.000338253,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.023959,0.0166535,0.26587,0.150922,0.0199081,0.00857674,0.568926,6.8261,0.000338253,0.987218
3,4.27745,4.19172,8.22925,0.048031,0.165889,0.187708,4.95864,0.00561147,0.944329,0.858603,7.32156,0.0474006,0.0794372,0.101256,2.99866,0.000699562,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32156,0.0474006,0.033024,0.119978,0.0520332,0.0086819,0.00772333,0.170495,2.99866,0.000699562,1.95766
4,6.35421,6.18922,8.76831,0.0952126,0.276474,0.322758,9.79555,0.00517712,1.23664,1.07165,7.32044,0.0939518,0.149754,0.196038,5.87663,0.00128679,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32044,0.0939518,0.0660076,0.231536,0.0937089,0.0172023,0.0124334,0.252982,5.87663,0.00128679,3.91293
5,1.58753,1.52696,8.00171,0.181658,0.0864877,0.103627,9.99132,0.00517022,0.329358,0.268787,6.2781,0.179136,0.0534104,0.0705493,2.15568,0.00255516,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.2781,0.179136,0.131944,0.0857406,0.0312929,0.0063121,0.0189433,0.0731621,2.15568,0.00255516,7.82167
6,2.56373,2.44491,9.59092,0.386564,0.152373,0.187639,19.9471,0.00548902,0.558469,0.439642,6.2787,0.38152,0.104328,0.139594,4.27611,0.00536923,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2787,0.38152,0.263879,0.168749,0.0607241,0.0125664,0.0343206,0.113978,4.27611,0.00536923,15.6427
7,0.457157,0.453776,10.9046,0.914108,0.0283714,0.0320533,56.1834,0.0114278,0.373275,0.369893,0.0141469,0.896942,0.0163582,0.0200401,0.465601,0.0112077,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141469,0.896942,0.9382,0.0159309,0.0190498,0.00123164,0.117924,0.051401,0.465601,0.0112077,55.6165
8,0.029227,0.0287981,0.0197678,0.00789223,0.00054835,0.000610024,0.0685749,1.688e-05,0.00231792,0.00188896,0.00215253,0.00787128,8.9514e-05,0.000151188,0.000554066,1.66113e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00215253,0.00787128,0.00114542,0.000109135,0.000100693,1.92496e-05,0.000334018,0.000757692,0.000554066,1.66113e-05,0.0679006
Total,38.5903,37.899,60.2367,1.66017,1.26508,1.44233,108.97,0.0389962,7.33665,6.64533,39.5906,1.63321,0.618821,0.796072,22.7889,0.0221574,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5906,1.63321,1.4514,0.922857,0.41761,0.0683876,0.202992,1.32247,22.7889,0.0221574,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65365,0.00722615,1.33521,7.62715,0.0181141,3.34703
