Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241803,0.0722252,0.0743931,0.216149,0.000713676,0.163013,0.102567,1.40487,0.00241096,0.0225082,0.0246761,0.189603,0.000713585,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00241096,0.000548211,0.0349398,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000713585,0.0324979
2,15.3154,15.1184,12.7288,0.0253842,0.482278,0.533293,7.80976,0.00624053,3.72925,3.53229,10.9705,0.025069,0.192502,0.243517,6.82609,0.000389565,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.025069,0.0166535,0.265197,0.150922,0.0199003,0.00857674,0.568926,6.82609,0.000389565,0.987218
3,4.27745,4.19172,8.23011,0.0511491,0.167299,0.188327,4.98262,0.00634102,0.944329,0.858603,7.32243,0.0505187,0.0808472,0.101875,3.02264,0.000790756,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32243,0.0505187,0.033024,0.121973,0.0520332,0.00871555,0.00772333,0.170495,3.02264,0.000790756,1.95766
4,6.35421,6.18922,8.76718,0.097052,0.272664,0.321007,9.72357,0.00497063,1.23664,1.07165,7.31931,0.0957911,0.145944,0.194287,5.80465,0.00123517,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31931,0.0957911,0.0660076,0.226063,0.0937089,0.0171147,0.0124334,0.252982,5.80465,0.00123517,3.91293
5,1.58753,1.52696,8.0002,0.196618,0.0846587,0.10281,9.95606,0.0054984,0.329358,0.268787,6.2766,0.194097,0.0515815,0.0697331,2.12042,0.00271925,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.2766,0.194097,0.131944,0.0831385,0.0312929,0.00626906,0.0189433,0.0731621,2.12042,0.00271925,7.82167
6,2.56373,2.44491,9.58935,0.395172,0.148152,0.185519,19.8589,0.00549119,0.558469,0.439642,6.27714,0.390128,0.100108,0.137475,4.18794,0.0053714,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27714,0.390128,0.263879,0.162498,0.0607241,0.012477,0.0343206,0.113978,4.18794,0.0053714,15.6427
7,0.457157,0.453776,10.9047,0.748487,0.028458,0.0320539,56.1868,0.0105232,0.373275,0.369893,0.0142188,0.731322,0.0164448,0.0200407,0.469084,0.0103031,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142188,0.731322,0.9382,0.0160144,0.0190498,0.00123529,0.117924,0.051401,0.469084,0.0103031,55.6165
8,0.029227,0.0287981,0.0197689,0.00741558,0.000548374,0.000610028,0.0685749,1.66548e-05,0.00231792,0.00188896,0.00215364,0.00739462,8.95383e-05,0.000151192,0.000554066,1.63861e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00215364,0.00739462,0.00114542,0.000109162,0.000100693,1.92505e-05,0.000334018,0.000757692,0.000554066,1.63861e-05,0.0679006
Total,38.5903,37.899,60.2334,1.5237,1.25628,1.43801,108.803,0.0397953,7.33665,6.64533,39.5872,1.49673,0.610024,0.791754,22.621,0.0215392,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5872,1.49673,1.4514,0.909933,0.41761,0.0681971,0.202992,1.32247,22.621,0.0215392,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65632,0.00723346,1.33656,7.68478,0.0181601,3.35553
