Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00246303,0.0722279,0.0743958,0.216149,0.000748086,0.163013,0.102567,1.40487,0.00245596,0.0225109,0.0246788,0.189603,0.000747995,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00245596,0.000548211,0.0349453,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000747995,0.0324979
2,15.3154,15.1184,12.7288,0.0253711,0.4829,0.533955,7.80976,0.0063173,3.72925,3.53229,10.9705,0.0250559,0.193124,0.244179,6.82609,0.000394363,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.0250559,0.0166535,0.266483,0.150922,0.0198986,0.00857674,0.568926,6.82609,0.000394363,0.987218
3,4.27745,4.19172,8.22941,0.0486047,0.166051,0.187726,4.95865,0.00556519,0.944329,0.858603,7.32172,0.0479743,0.0795994,0.101274,2.99866,0.000693778,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32172,0.0479743,0.033024,0.120152,0.0520332,0.00868806,0.00772333,0.170495,2.99866,0.000693778,1.95766
4,6.35421,6.18922,8.76886,0.0998514,0.278149,0.32343,9.8435,0.00560396,1.23664,1.07165,7.32099,0.0985905,0.151428,0.19671,5.92459,0.0013935,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32099,0.0985905,0.0660076,0.23384,0.0937089,0.0172449,0.0124334,0.252982,5.92459,0.0013935,3.91293
5,1.58753,1.52696,8.00249,0.17175,0.087418,0.104032,10.0177,0.00495327,0.329358,0.268787,6.27888,0.169229,0.0543408,0.0709544,2.1821,0.00244669,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27888,0.169229,0.131944,0.0870537,0.0312929,0.00633444,0.0189433,0.0731621,2.1821,0.00244669,7.82167
6,2.56373,2.44491,9.59099,0.374918,0.152601,0.187766,19.9471,0.00522176,0.558469,0.439642,6.27878,0.369875,0.104556,0.139721,4.27611,0.00510196,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27878,0.369875,0.263879,0.1691,0.0607241,0.0125707,0.0343206,0.113978,4.27611,0.00510196,15.6427
7,0.457157,0.453776,10.9047,0.890126,0.0285149,0.0321308,56.1851,0.0114624,0.373275,0.369893,0.0142021,0.872961,0.0165017,0.0201176,0.467344,0.0112424,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142021,0.872961,0.9382,0.0161491,0.0190498,0.00123445,0.117924,0.051401,0.467344,0.0112424,55.6165
8,0.029227,0.0287981,0.0197324,0.00753152,0.000547651,0.000609986,0.0685728,1.60098e-05,0.00231792,0.00188896,0.00211716,0.00751057,8.88158e-05,0.00015115,0.000551926,1.57412e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00211716,0.00751057,0.00114542,0.000108427,0.000100693,1.92215e-05,0.000334018,0.000757692,0.000551926,1.57412e-05,0.0679006
Total,38.5903,37.899,60.2382,1.62062,1.26841,1.44404,109.047,0.039888,7.33665,6.64533,39.592,1.59365,0.622151,0.797785,22.8651,0.0220364,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.592,1.59365,1.4514,0.927831,0.41761,0.0684562,0.202992,1.32247,22.8651,0.0220364,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65243,0.00722814,1.33558,7.60172,0.0181266,3.34934
