Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00244053,0.0722325,0.0744003,0.216149,0.00074944,0.163013,0.102567,1.40487,0.00243346,0.0225155,0.0246833,0.189603,0.00074935,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00243346,0.000548211,0.0349544,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.00074935,0.0324979
2,15.3154,15.1184,12.7287,0.0236536,0.482053,0.533411,7.80975,0.0054221,3.72925,3.53229,10.9703,0.0233384,0.192277,0.243635,6.82607,0.000338413,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9703,0.0233384,0.0166535,0.265104,0.150922,0.0198857,0.00857674,0.568926,6.82607,0.000338413,0.987218
3,4.27745,4.19172,8.22847,0.0476429,0.16404,0.186576,4.92268,0.00550601,0.944329,0.858603,7.32078,0.0470124,0.0775881,0.100124,2.9627,0.000686379,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32078,0.0470124,0.033024,0.117027,0.0520332,0.00865143,0.00772333,0.170495,2.9627,0.000686379,1.95766
4,6.35421,6.18922,8.7697,0.0974851,0.279325,0.323067,9.89147,0.00538556,1.23664,1.07165,7.32183,0.0962243,0.152605,0.196347,5.97256,0.0013389,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32183,0.0962243,0.0660076,0.234589,0.0937089,0.0173103,0.0124334,0.252982,5.97256,0.0013389,3.91293
5,1.58753,1.52696,8.00266,0.185665,0.0876073,0.10411,10.0177,0.00523707,0.329358,0.268787,6.27905,0.183143,0.05453,0.0710325,2.18211,0.00258859,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27905,0.183143,0.131944,0.0873163,0.0312929,0.00633916,0.0189433,0.0731621,2.18211,0.00258859,7.82167
6,2.56373,2.44491,9.59116,0.349845,0.152975,0.187915,19.9647,0.00472667,0.558469,0.439642,6.27894,0.344802,0.10493,0.13987,4.29373,0.00460688,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27894,0.344802,0.263879,0.169613,0.0607241,0.0125802,0.0343206,0.113978,4.29373,0.00460688,15.6427
7,0.457157,0.453776,10.9048,0.756225,0.0286975,0.0322076,56.1903,0.0111441,0.373275,0.369893,0.0142906,0.73906,0.0166843,0.0201944,0.472567,0.0109241,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142906,0.73906,0.9382,0.016404,0.0190498,0.00123894,0.117924,0.051401,0.472567,0.0109241,55.6165
8,0.029227,0.0287981,0.0197324,0.00749214,0.000547651,0.000609986,0.0685728,1.543e-05,0.00231792,0.00188896,0.00211716,0.00747119,8.88159e-05,0.000151151,0.000551926,1.51614e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00211716,0.00747119,0.00114542,0.000108427,0.000100693,1.92215e-05,0.000334018,0.000757692,0.000551926,1.51614e-05,0.0679006
Total,38.5903,37.899,60.2384,1.47045,1.26748,1.4423,109.081,0.0381864,7.33665,6.64533,39.5922,1.44348,0.621219,0.796037,22.8999,0.0212477,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5922,1.44348,1.4514,0.925117,0.41761,0.0684909,0.202992,1.32247,22.8999,0.0212477,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65198,0.00723598,1.33703,7.59192,0.018176,3.35847
