Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00242553,0.0722266,0.0743945,0.216149,0.000710921,0.163013,0.102567,1.40487,0.00241846,0.0225096,0.0246775,0.189603,0.00071083,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00241846,0.000548211,0.0349427,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.00071083,0.0324979
2,15.3154,15.1184,12.7289,0.0254499,0.482629,0.533378,7.83727,0.00623155,3.72925,3.53229,10.9706,0.0251347,0.192853,0.243602,6.8536,0.000389004,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0251347,0.0166535,0.265621,0.150922,0.0199116,0.00857674,0.568926,6.8536,0.000389004,0.987218
3,4.27745,4.19172,8.22957,0.0492591,0.166396,0.187919,4.97062,0.00561467,0.944329,0.858603,7.32189,0.0486287,0.0799436,0.101467,3.01064,0.000699962,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32189,0.0486287,0.033024,0.120683,0.0520332,0.00869448,0.00772333,0.170495,3.01064,0.000699962,1.95766
4,6.35421,6.18922,8.76723,0.0974176,0.272701,0.320954,9.72357,0.00496808,1.23664,1.07165,7.31936,0.0961568,0.145981,0.194234,5.80466,0.00123453,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31936,0.0961568,0.0660076,0.226044,0.0937089,0.0171186,0.0124334,0.252982,5.80466,0.00123453,3.91293
5,1.58753,1.52696,8.00019,0.186985,0.0846323,0.102791,9.95606,0.0051037,0.329358,0.268787,6.27659,0.184463,0.0515551,0.0697133,2.12042,0.0025219,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27659,0.184463,0.131944,0.0830925,0.0312929,0.00626878,0.0189433,0.0731621,2.12042,0.0025219,7.82167
6,2.56373,2.44491,9.58954,0.375807,0.148698,0.18581,19.8766,0.00506803,0.558469,0.439642,6.27733,0.370763,0.100654,0.137765,4.20558,0.00494823,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27733,0.370763,0.263879,0.163324,0.0607241,0.0124879,0.0343206,0.113978,4.20558,0.00494823,15.6427
7,0.457157,0.453776,10.9046,0.755586,0.0281785,0.0318626,56.1816,0.0105046,0.373275,0.369893,0.014145,0.73842,0.0161653,0.0198494,0.463861,0.0102845,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014145,0.73842,0.9382,0.0155474,0.0190498,0.00123155,0.117924,0.051401,0.463861,0.0102845,55.6165
8,0.029227,0.0287981,0.0197507,0.00778008,0.000548013,0.000610007,0.0685728,1.71805e-05,0.00231792,0.00188896,0.0021354,0.00775912,8.9177e-05,0.000151171,0.000551932,1.69119e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.0021354,0.00775912,0.00114542,0.000108794,0.000100693,1.9236e-05,0.000334018,0.000757692,0.000551932,1.69119e-05,0.0679006
Total,38.5903,37.899,60.2331,1.50071,1.25601,1.43772,108.83,0.0382187,7.33665,6.64533,39.5869,1.47374,0.609751,0.791459,22.6489,0.0208059,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5869,1.47374,1.4514,0.909363,0.41761,0.068198,0.202992,1.32247,22.6489,0.0208059,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65594,0.00723468,1.33679,7.67628,0.0181677,3.35695
