Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00240303,0.0722293,0.0743972,0.216149,0.00068775,0.163013,0.102567,1.40487,0.00239596,0.0225123,0.0246802,0.189603,0.000687659,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00239596,0.000548211,0.034948,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000687659,0.0324979
2,15.3154,15.1184,12.7286,0.0245405,0.481855,0.533242,7.80974,0.00552508,3.72925,3.53229,10.9703,0.0242253,0.192079,0.243466,6.82607,0.00034485,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9703,0.0242253,0.0166535,0.264739,0.150922,0.0198845,0.00857674,0.568926,6.82607,0.00034485,0.987218
3,4.27745,4.19172,8.22969,0.0515635,0.166528,0.187942,4.97063,0.00660005,0.944329,0.858603,7.322,0.0509331,0.0800756,0.10149,3.01065,0.000823135,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.322,0.0509331,0.033024,0.120833,0.0520332,0.00869912,0.00772333,0.170495,3.01065,0.000823135,1.95766
4,6.35421,6.18922,8.76706,0.0991107,0.27212,0.320684,9.69959,0.00521542,1.23664,1.07165,7.31919,0.0978499,0.1454,0.193964,5.78068,0.00129637,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31919,0.0978499,0.0660076,0.225206,0.0937089,0.0171053,0.0124334,0.252982,5.78068,0.00129637,3.91293
5,1.58753,1.52696,8.0003,0.193088,0.0847114,0.102797,9.95606,0.00530891,0.329358,0.268787,6.27669,0.190566,0.0516342,0.0697194,2.12042,0.00262451,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27669,0.190566,0.131944,0.0831746,0.0312929,0.00627188,0.0189433,0.0731621,2.12042,0.00262451,7.82167
6,2.56373,2.44491,9.58948,0.380039,0.148473,0.185672,19.8766,0.00511937,0.558469,0.439642,6.27726,0.374995,0.100428,0.137628,4.20557,0.00499957,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27726,0.374995,0.263879,0.162964,0.0607241,0.0124842,0.0343206,0.113978,4.20557,0.00499957,15.6427
7,0.457157,0.453776,10.9047,0.745131,0.0282632,0.0319151,56.1834,0.0105066,0.373275,0.369893,0.0141719,0.727965,0.01625,0.0199019,0.465602,0.0102865,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141719,0.727965,0.9382,0.0156832,0.0190498,0.00123292,0.117924,0.051401,0.465602,0.0102865,55.6165
8,0.029227,0.0287981,0.0197573,0.00828663,0.000548143,0.000610013,0.0685749,1.81933e-05,0.00231792,0.00188896,0.00214203,0.00826567,8.93071e-05,0.000151177,0.000554063,1.79247e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214203,0.00826567,0.00114542,0.000108925,0.000100693,1.92413e-05,0.000334018,0.000757692,0.000554063,1.79247e-05,0.0679006
Total,38.5903,37.899,60.2328,1.50416,1.25473,1.43726,108.781,0.0389813,7.33665,6.64533,39.5867,1.4772,0.608469,0.791,22.5992,0.0210805,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5867,1.4772,1.4514,0.907657,0.41761,0.0681631,0.202992,1.32247,22.5992,0.0210805,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65669,0.00723451,1.33676,7.69265,0.0181667,3.35675
