Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00244053,0.072227,0.0743948,0.216149,0.000772983,0.163013,0.102567,1.40487,0.00243346,0.02251,0.0246779,0.189603,0.000772892,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00243346,0.000548211,0.0349434,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000772892,0.0324979
2,15.3154,15.1184,12.7287,0.0251574,0.481811,0.533074,7.80975,0.00591014,3.72925,3.53229,10.9704,0.0248422,0.192035,0.243298,6.82608,0.000368916,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9704,0.0248422,0.0166535,0.264522,0.150922,0.0198897,0.00857674,0.568926,6.82608,0.000368916,0.987218
3,4.27745,4.19172,8.23047,0.0499604,0.167941,0.188639,4.9946,0.00588476,0.944329,0.858603,7.32279,0.0493299,0.0814886,0.102187,3.03462,0.000733723,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32279,0.0493299,0.033024,0.122913,0.0520332,0.00872953,0.00772333,0.170495,3.03462,0.000733723,1.95766
4,6.35421,6.18922,8.76786,0.093962,0.275587,0.322687,9.77155,0.00495067,1.23664,1.07165,7.31999,0.0927011,0.148867,0.195967,5.85264,0.00123018,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31999,0.0927011,0.0660076,0.230614,0.0937089,0.0171676,0.0124334,0.252982,5.85264,0.00123018,3.91293
5,1.58753,1.52696,8.00095,0.193215,0.0855673,0.103213,9.97369,0.00535538,0.329358,0.268787,6.27735,0.190694,0.05249,0.0701361,2.13805,0.00264774,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27735,0.190694,0.131944,0.0844285,0.0312929,0.00629055,0.0189433,0.0731621,2.13805,0.00264774,7.82167
6,2.56373,2.44491,9.58981,0.389162,0.149525,0.186278,19.8942,0.00538887,0.558469,0.439642,6.2776,0.384119,0.101481,0.138233,4.22321,0.00526907,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2776,0.384119,0.263879,0.164603,0.0607241,0.0125032,0.0343206,0.113978,4.22321,0.00526907,15.6427
7,0.457157,0.453776,10.9046,0.8181,0.0282772,0.0319697,56.1816,0.0108388,0.373275,0.369893,0.014138,0.800935,0.016264,0.0199565,0.46386,0.0106187,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014138,0.800935,0.9382,0.0157535,0.0190498,0.00123119,0.117924,0.051401,0.46386,0.0106187,55.6165
8,0.029227,0.0287981,0.0197043,0.00814005,0.000546997,0.000609858,0.0685707,1.7663e-05,0.00231792,0.00188896,0.00208898,0.00811909,8.81615e-05,0.000151022,0.000549788,1.73944e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00208898,0.00811909,0.00114542,0.000107667,0.000100693,1.91992e-05,0.000334018,0.000757692,0.000549788,1.73944e-05,0.0679006
Total,38.5903,37.899,60.2354,1.58014,1.26148,1.44087,108.91,0.0391193,7.33665,6.64533,39.5892,1.55317,0.615224,0.794607,22.7286,0.0216587,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5892,1.55317,1.4514,0.917885,0.41761,0.0682969,0.202992,1.32247,22.7286,0.0216587,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65461,0.0072304,1.336,7.64795,0.0181408,3.35197
