Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241803,0.0722263,0.0743942,0.216149,0.000708165,0.163013,0.102567,1.40487,0.00241096,0.0225093,0.0246772,0.189603,0.000708075,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00241096,0.000548211,0.034942,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000708075,0.0324979
2,15.3154,15.1184,12.7288,0.0247561,0.481955,0.532941,7.80976,0.0057938,3.72925,3.53229,10.9705,0.0244409,0.192179,0.243165,6.82609,0.000361645,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.0244409,0.0166535,0.264522,0.150922,0.0199015,0.00857674,0.568926,6.82609,0.000361645,0.987218
3,4.27745,4.19172,8.22958,0.0498797,0.166381,0.187899,4.97062,0.00584139,0.944329,0.858603,7.32189,0.0492493,0.0799292,0.101447,3.01064,0.000728302,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32189,0.0492493,0.033024,0.120648,0.0520332,0.00869472,0.00772333,0.170495,3.01064,0.000728302,1.95766
4,6.35421,6.18922,8.76763,0.0977589,0.274164,0.321694,9.74757,0.00515324,1.23664,1.07165,7.31976,0.096498,0.147444,0.194974,5.82866,0.00128082,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31976,0.096498,0.0660076,0.228216,0.0937089,0.0171493,0.0124334,0.252982,5.82866,0.00128082,3.91293
5,1.58753,1.52696,8.00049,0.177568,0.0850142,0.102974,9.96487,0.00490536,0.329358,0.268787,6.27688,0.175047,0.051937,0.0698964,2.12924,0.00242273,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27688,0.175047,0.131944,0.0836492,0.0312929,0.00627723,0.0189433,0.0731621,2.12924,0.00242273,7.82167
6,2.56373,2.44491,9.58968,0.346967,0.149167,0.186102,19.8766,0.00484528,0.558469,0.439642,6.27746,0.341924,0.101122,0.138057,4.20558,0.00472549,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27746,0.341924,0.263879,0.164077,0.0607241,0.0124954,0.0343206,0.113978,4.20558,0.00472549,15.6427
7,0.457157,0.453776,10.9046,0.717821,0.028191,0.0318919,56.1816,0.0104328,0.373275,0.369893,0.0141309,0.700656,0.0161778,0.0198787,0.46386,0.0102128,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141309,0.700656,0.9382,0.0155899,0.0190498,0.00123083,0.117924,0.051401,0.46386,0.0102128,55.6165
8,0.029227,0.0287981,0.019759,0.00758693,0.000548176,0.000610015,0.0685749,1.69266e-05,0.00231792,0.00188896,0.00214369,0.00756597,8.93402e-05,0.00015118,0.000554063,1.66579e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214369,0.00756597,0.00114542,0.000108959,0.000100693,1.92426e-05,0.000334018,0.000757692,0.000554063,1.66579e-05,0.0679006
Total,38.5903,37.899,60.2338,1.42476,1.25765,1.43851,108.836,0.037697,7.33665,6.64533,39.5876,1.39779,0.611388,0.792247,22.6542,0.0204565,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5876,1.39779,1.4514,0.911752,0.41761,0.0682342,0.202992,1.32247,22.6542,0.0204565,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65583,0.00723862,1.33752,7.67393,0.0181926,3.36154
