Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00247803,0.072228,0.0743958,0.216149,0.000882276,0.163013,0.102567,1.40487,0.00247096,0.022511,0.0246788,0.189603,0.000882186,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00247096,0.000548211,0.0349454,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000882186,0.0324979
2,15.3154,15.1184,12.7285,0.0255905,0.48061,0.532242,7.78224,0.00644381,3.72925,3.53229,10.9702,0.0252753,0.190834,0.242466,6.79856,0.00040227,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9702,0.0252753,0.0166535,0.262505,0.150922,0.019874,0.00857674,0.568926,6.79856,0.00040227,0.987218
3,4.27745,4.19172,8.22978,0.0488072,0.166752,0.18809,4.97063,0.00555743,0.944329,0.858603,7.32209,0.0481768,0.0803002,0.101637,3.01065,0.000692807,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32209,0.0481768,0.033024,0.121202,0.0520332,0.00870238,0.00772333,0.170495,3.01065,0.000692807,1.95766
4,6.35421,6.18922,8.76699,0.0958314,0.271656,0.320344,9.69959,0.00490871,1.23664,1.07165,7.31912,0.0945705,0.144936,0.193624,5.78067,0.00121969,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31912,0.0945705,0.0660076,0.224407,0.0937089,0.0171001,0.0124334,0.252982,5.78067,0.00121969,3.91293
5,1.58753,1.52696,7.99978,0.196847,0.0841119,0.102544,9.93843,0.00552393,0.329358,0.268787,6.27618,0.194325,0.0510347,0.0694669,2.10279,0.00273201,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27618,0.194325,0.131944,0.0823373,0.0312929,0.00625713,0.0189433,0.0731621,2.10279,0.00273201,7.82167
6,2.56373,2.44491,9.58972,0.372171,0.148961,0.185835,19.8766,0.00509574,0.558469,0.439642,6.27751,0.367128,0.100917,0.13779,4.20559,0.00497594,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27751,0.367128,0.263879,0.163601,0.0607241,0.012498,0.0343206,0.113978,4.20559,0.00497594,15.6427
7,0.457157,0.453776,10.9047,0.807036,0.028264,0.0319164,56.1834,0.010704,0.373275,0.369893,0.0141715,0.78987,0.0162508,0.0199032,0.465602,0.0104839,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141715,0.78987,0.9382,0.0156853,0.0190498,0.00123289,0.117924,0.051401,0.465602,0.0104839,55.6165
8,0.029227,0.0287981,0.0197501,0.00741704,0.000548,0.000610005,0.0685728,1.66206e-05,0.00231792,0.00188896,0.00213485,0.00739609,8.91648e-05,0.000151169,0.000551932,1.6352e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213485,0.00739609,0.00114542,0.00010878,0.000100693,1.92356e-05,0.000334018,0.000757692,0.000551932,1.6352e-05,0.0679006
Total,38.5903,37.899,60.2325,1.55618,1.25313,1.43598,108.736,0.0391325,7.33665,6.64533,39.5863,1.52921,0.606872,0.789718,22.554,0.0214052,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5863,1.52921,1.4514,0.904792,0.41761,0.0681497,0.202992,1.32247,22.554,0.0214052,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.6574,0.00723181,1.33626,7.70796,0.0181497,3.35361
