Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241803,0.0722237,0.0743916,0.216149,0.00069268,0.163013,0.102567,1.40487,0.00241096,0.0225068,0.0246746,0.189603,0.000692589,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00241096,0.000548211,0.0349369,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000692589,0.0324979
2,15.3154,15.1184,12.729,0.0255417,0.482845,0.533573,7.83727,0.00637195,3.72925,3.53229,10.9706,0.0252265,0.193069,0.243797,6.8536,0.000397779,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0252265,0.0166535,0.266033,0.150922,0.0199125,0.00857674,0.568926,6.8536,0.000397779,0.987218
3,4.27745,4.19172,8.22992,0.0508885,0.167001,0.188209,4.98261,0.00621864,0.944329,0.858603,7.32223,0.0502581,0.0805491,0.101757,3.02263,0.000775458,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32223,0.0502581,0.033024,0.121565,0.0520332,0.00870787,0.00772333,0.170495,3.02263,0.000775458,1.95766
4,6.35421,6.18922,8.76738,0.091712,0.273677,0.321666,9.72359,0.00482193,1.23664,1.07165,7.31951,0.0904511,0.146957,0.194946,5.80467,0.001198,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31951,0.0904511,0.0660076,0.227721,0.0937089,0.0171298,0.0124334,0.252982,5.80467,0.001198,3.91293
5,1.58753,1.52696,7.99988,0.193733,0.0842764,0.102643,9.94724,0.00535109,0.329358,0.268787,6.27628,0.191211,0.0511992,0.0695656,2.11161,0.00264559,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27628,0.191211,0.131944,0.0825978,0.0312929,0.00625993,0.0189433,0.0731621,2.11161,0.00264559,7.82167
6,2.56373,2.44491,9.58989,0.387983,0.149642,0.186282,19.8942,0.00534483,0.558469,0.439642,6.27768,0.38294,0.101598,0.138237,4.22321,0.00522504,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27768,0.38294,0.263879,0.16472,0.0607241,0.012508,0.0343206,0.113978,4.22321,0.00522504,15.6427
7,0.457157,0.453776,10.9047,0.757496,0.0283947,0.0320409,56.1834,0.0105966,0.373275,0.369893,0.0141767,0.740331,0.0163815,0.0200277,0.465603,0.0103766,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141767,0.740331,0.9382,0.0159402,0.0190498,0.00123316,0.117924,0.051401,0.465603,0.0103766,55.6165
8,0.029227,0.0287981,0.0197778,0.00786255,0.000548548,0.000610037,0.0685749,1.72435e-05,0.00231792,0.00188896,0.00216248,0.00784159,8.97125e-05,0.000151201,0.000554069,1.69749e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00216248,0.00784159,0.00114542,0.000109338,0.000100693,1.92575e-05,0.000334018,0.000757692,0.000554069,1.69749e-05,0.0679006
Total,38.5903,37.899,60.2337,1.51763,1.25861,1.43942,108.853,0.039415,7.33665,6.64533,39.5875,1.49067,0.61235,0.793157,22.6715,0.021328,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5875,1.49067,1.4514,0.913622,0.41761,0.0682364,0.202992,1.32247,22.6715,0.021328,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65552,0.00723376,1.33662,7.66756,0.0181619,3.35588
