Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00247053,0.0722236,0.0743914,0.216149,0.000820849,0.163013,0.102567,1.40487,0.00246346,0.0225066,0.0246744,0.189603,0.000820758,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00246346,0.000548211,0.0349366,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000820758,0.0324979
2,15.3154,15.1184,12.7288,0.0256055,0.48197,0.533001,7.80976,0.00652585,3.72925,3.53229,10.9705,0.0252903,0.192194,0.243225,6.82609,0.000407398,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.0252903,0.0166535,0.264598,0.150922,0.0198996,0.00857674,0.568926,6.82609,0.000407398,0.987218
3,4.27745,4.19172,8.22961,0.0483535,0.166488,0.187979,4.97063,0.00543831,0.944329,0.858603,7.32192,0.0477231,0.0800361,0.101527,3.01064,0.000677917,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32192,0.0477231,0.033024,0.120834,0.0520332,0.00869584,0.00772333,0.170495,3.01064,0.000677917,1.95766
4,6.35421,6.18922,8.76725,0.0969507,0.272772,0.320992,9.72358,0.00492552,1.23664,1.07165,7.31938,0.0956899,0.146052,0.194272,5.80466,0.00122389,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31938,0.0956899,0.0660076,0.226151,0.0937089,0.01712,0.0124334,0.252982,5.80466,0.00122389,3.91293
5,1.58753,1.52696,7.99995,0.196654,0.0843393,0.102661,9.94724,0.00548258,0.329358,0.268787,6.27634,0.194132,0.0512621,0.0695835,2.11161,0.00271134,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27634,0.194132,0.131944,0.0826767,0.0312929,0.00626184,0.0189433,0.0731621,2.11161,0.00271134,7.82167
6,2.56373,2.44491,9.58953,0.383644,0.148375,0.185503,19.8766,0.0051729,0.558469,0.439642,6.27732,0.378601,0.10033,0.137459,4.20558,0.00505311,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27732,0.378601,0.263879,0.162694,0.0607241,0.0124872,0.0343206,0.113978,4.20558,0.00505311,15.6427
7,0.457157,0.453776,10.9046,0.807255,0.0279595,0.0317032,56.1799,0.0106183,0.373275,0.369893,0.0140951,0.79009,0.0159463,0.01969,0.462118,0.0103983,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0140951,0.79009,0.9382,0.0151715,0.0190498,0.00122901,0.117924,0.051401,0.462118,0.0103983,55.6165
8,0.029227,0.0287981,0.0197529,0.00790497,0.000548057,0.00061001,0.0685749,1.7736e-05,0.00231792,0.00188896,0.00213761,0.00788402,8.92214e-05,0.000151174,0.000554061,1.74673e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213761,0.00788402,0.00114542,0.00010884,0.000100693,1.92378e-05,0.000334018,0.000757692,0.000554061,1.74673e-05,0.0679006
Total,38.5903,37.899,60.2327,1.56884,1.25468,1.43684,108.792,0.0390021,7.33665,6.64533,39.5866,1.54187,0.608416,0.790582,22.6109,0.0213101,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5866,1.54187,1.4514,0.907171,0.41761,0.0681786,0.202992,1.32247,22.6109,0.0213101,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65652,0.00723113,1.33613,7.68899,0.0181454,3.35282
