Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00246303,0.0722251,0.074393,0.216149,0.000810794,0.163013,0.102567,1.40487,0.00245596,0.0225082,0.024676,0.189603,0.000810703,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00245596,0.000548211,0.0349397,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000810703,0.0324979
2,15.3154,15.1184,12.7289,0.0256917,0.483327,0.534128,7.83727,0.0065603,3.72925,3.53229,10.9706,0.0253765,0.193551,0.244352,6.85359,0.000409551,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0253765,0.0166535,0.267072,0.150922,0.0199093,0.00857674,0.568926,6.85359,0.000409551,0.987218
3,4.27745,4.19172,8.23005,0.0514679,0.167154,0.188245,4.98261,0.00659874,0.944329,0.858603,7.32236,0.0508374,0.0807024,0.101793,3.02263,0.000822971,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32236,0.0508374,0.033024,0.121749,0.0520332,0.00871287,0.00772333,0.170495,3.02263,0.000822971,1.95766
4,6.35421,6.18922,8.76714,0.0971495,0.27277,0.321193,9.6996,0.00496362,1.23664,1.07165,7.31927,0.0958886,0.146049,0.194473,5.78068,0.00123342,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31927,0.0958886,0.0660076,0.226359,0.0937089,0.0171113,0.0124334,0.252982,5.78068,0.00123342,3.91293
5,1.58753,1.52696,7.99998,0.187142,0.0843888,0.102688,9.94724,0.0051391,0.329358,0.268787,6.27638,0.18462,0.0513116,0.069611,2.11161,0.0025396,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27638,0.18462,0.131944,0.0827528,0.0312929,0.00626278,0.0189433,0.0731621,2.11161,0.0025396,7.82167
6,2.56373,2.44491,9.58976,0.34914,0.149345,0.186164,19.8942,0.00478654,0.558469,0.439642,6.27755,0.344097,0.101301,0.138119,4.22321,0.00466675,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27755,0.344097,0.263879,0.164312,0.0607241,0.0125004,0.0343206,0.113978,4.22321,0.00466675,15.6427
7,0.457157,0.453776,10.9047,0.723099,0.0284954,0.0320624,56.1868,0.0104656,0.373275,0.369893,0.014243,0.705934,0.0164822,0.0200492,0.469086,0.0102455,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014243,0.705934,0.9382,0.0160591,0.0190498,0.00123653,0.117924,0.051401,0.469086,0.0102455,55.6165
8,0.029227,0.0287981,0.0197684,0.00774815,0.000548362,0.000610026,0.0685749,1.73762e-05,0.00231792,0.00188896,0.00215308,0.0077272,8.95266e-05,0.000151191,0.000554066,1.71076e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00215308,0.0077272,0.00114542,0.000109149,0.000100693,1.925e-05,0.000334018,0.000757692,0.000554066,1.71076e-05,0.0679006
Total,38.5903,37.899,60.2336,1.4439,1.25825,1.43948,108.832,0.039342,7.33665,6.64533,39.5874,1.41694,0.611995,0.793225,22.651,0.0207456,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5874,1.41694,1.4514,0.913352,0.41761,0.0682184,0.202992,1.32247,22.651,0.0207456,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65583,0.00723763,1.33733,7.67437,0.0181863,3.36039
