Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00250053,0.0722276,0.0743955,0.216149,0.000811386,0.163013,0.102567,1.40487,0.00249346,0.0225106,0.0246785,0.189603,0.000811295,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00249346,0.000548211,0.0349446,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000811295,0.0324979
2,15.3154,15.1184,12.7287,0.0250805,0.481637,0.532928,7.80975,0.00576882,3.72925,3.53229,10.9704,0.0247653,0.191861,0.243152,6.82608,0.000360083,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9704,0.0247653,0.0166535,0.264204,0.150922,0.0198885,0.00857674,0.568926,6.82608,0.000360083,0.987218
3,4.27745,4.19172,8.23007,0.0501666,0.167174,0.188244,4.98261,0.00588492,0.944329,0.858603,7.32238,0.0495362,0.0807221,0.101792,3.02263,0.000733744,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32238,0.0495362,0.033024,0.121767,0.0520332,0.00871375,0.00772333,0.170495,3.02263,0.000733744,1.95766
4,6.35421,6.18922,8.76738,0.0832182,0.27348,0.321466,9.72359,0.00447784,1.23664,1.07165,7.31951,0.0819574,0.14676,0.194746,5.80467,0.00111197,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31951,0.0819574,0.0660076,0.227324,0.0937089,0.0171299,0.0124334,0.252982,5.80467,0.00111197,3.91293
5,1.58753,1.52696,7.99992,0.196791,0.084336,0.102679,9.94724,0.00551765,0.329358,0.268787,6.27631,0.194269,0.0512587,0.0696016,2.11161,0.00272888,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27631,0.194269,0.131944,0.0826923,0.0312929,0.00626093,0.0189433,0.0731621,2.11161,0.00272888,7.82167
6,2.56373,2.44491,9.59002,0.349109,0.149936,0.18641,19.8942,0.00482459,0.558469,0.439642,6.2778,0.344065,0.101891,0.138365,4.22322,0.0047048,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2778,0.344065,0.263879,0.165134,0.0607241,0.012515,0.0343206,0.113978,4.22322,0.0047048,15.6427
7,0.457157,0.453776,10.9047,0.874776,0.0284101,0.0320535,56.1834,0.0109848,0.373275,0.369893,0.0141791,0.85761,0.0163969,0.0200403,0.465603,0.0107647,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141791,0.85761,0.9382,0.0159681,0.0190498,0.00123328,0.117924,0.051401,0.465603,0.0107647,55.6165
8,0.029227,0.0287981,0.0197507,0.00783513,0.000548013,0.000610008,0.0685728,1.72788e-05,0.00231792,0.00188896,0.0021354,0.00781418,8.91778e-05,0.000151172,0.000551932,1.70101e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.0021354,0.00781418,0.00114542,0.000108796,0.000100693,1.9236e-05,0.000334018,0.000757692,0.000551932,1.70101e-05,0.0679006
Total,38.5903,37.899,60.2337,1.58948,1.25775,1.43879,108.825,0.0382872,7.33665,6.64533,39.5876,1.56251,0.611491,0.792527,22.644,0.0212325,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5876,1.56251,1.4514,0.912143,0.41761,0.0682266,0.202992,1.32247,22.644,0.0212325,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65597,0.00723,1.33593,7.67683,0.0181383,3.3515
