Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00244053,0.0722228,0.0743907,0.216149,0.000708656,0.163013,0.102567,1.40487,0.00243346,0.0225058,0.0246737,0.189603,0.000708565,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00243346,0.000548211,0.0349351,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000708565,0.0324979
2,15.3154,15.1184,12.729,0.0243905,0.482895,0.533533,7.83727,0.00551092,3.72925,3.53229,10.9707,0.0240753,0.193119,0.243757,6.8536,0.000343964,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9707,0.0240753,0.0166535,0.266039,0.150922,0.0199163,0.00857674,0.568926,6.8536,0.000343964,0.987218
3,4.27745,4.19172,8.22971,0.0502679,0.166676,0.188073,4.97063,0.00602258,0.944329,0.858603,7.32202,0.0496374,0.0802241,0.101621,3.01065,0.00075095,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32202,0.0496374,0.033024,0.121112,0.0520332,0.00869984,0.00772333,0.170495,3.01065,0.00075095,1.95766
4,6.35421,6.18922,8.76786,0.0894732,0.27547,0.322569,9.77155,0.0047111,1.23664,1.07165,7.31999,0.0882124,0.148749,0.195849,5.85264,0.00117029,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31999,0.0882124,0.0660076,0.230378,0.0937089,0.0171676,0.0124334,0.252982,5.85264,0.00117029,3.91293
5,1.58753,1.52696,8.00031,0.198988,0.0848011,0.102881,9.95606,0.00571816,0.329358,0.268787,6.2767,0.196467,0.0517239,0.0698042,2.12042,0.00282913,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.2767,0.196467,0.131944,0.0833489,0.0312929,0.00627209,0.0189433,0.0731621,2.12042,0.00282913,7.82167
6,2.56373,2.44491,9.5898,0.369405,0.149453,0.186216,19.8942,0.00503614,0.558469,0.439642,6.27759,0.364362,0.101409,0.138171,4.22321,0.00491635,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27759,0.364362,0.263879,0.16447,0.0607241,0.0125028,0.0343206,0.113978,4.22321,0.00491635,15.6427
7,0.457157,0.453776,10.9047,0.871097,0.0283825,0.0319951,56.1851,0.0109856,0.373275,0.369893,0.0142048,0.853932,0.0163693,0.0199819,0.467344,0.0107655,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142048,0.853932,0.9382,0.0158809,0.0190498,0.00123459,0.117924,0.051401,0.467344,0.0107655,55.6165
8,0.029227,0.0287981,0.0197463,0.00788993,0.000547926,0.000610002,0.0685728,1.72074e-05,0.00231792,0.00188896,0.00213098,0.00786897,8.90901e-05,0.000151167,0.000551931,1.69387e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213098,0.00786897,0.00114542,0.000108706,0.000100693,1.92325e-05,0.000334018,0.000757692,0.000551931,1.69387e-05,0.0679006
Total,38.5903,37.899,60.2344,1.61395,1.26045,1.44027,108.9,0.0387104,7.33665,6.64533,39.5882,1.58699,0.61419,0.794009,22.718,0.0215017,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5882,1.58699,1.4514,0.916272,0.41761,0.0682783,0.202992,1.32247,22.718,0.0215017,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.6548,0.00722869,1.33568,7.65187,0.01813,3.34998
