Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00198303,0.0722119,0.0743797,0.216149,0.000434173,0.163013,0.102567,1.40487,0.00197596,0.0224949,0.0246627,0.189603,0.000434082,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00197596,0.000548211,0.0349132,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000434082,0.0324979
2,15.3154,15.1184,12.7291,0.0114792,0.484951,0.535408,7.83728,0.0040597,3.72925,3.53229,10.9708,0.011164,0.195175,0.245632,6.85361,0.000253264,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9708,0.011164,0.0166535,0.269962,0.150922,0.019924,0.00857674,0.568926,6.85361,0.000253264,0.987218
3,4.27745,4.19172,8.23259,0.0317185,0.171321,0.19008,5.07845,0.00430221,0.944329,0.858603,7.32491,0.0310881,0.0848686,0.103628,3.11847,0.000535904,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32491,0.0310881,0.033024,0.127651,0.0520332,0.00881197,0.00772333,0.170495,3.11847,0.000535904,1.95766
4,6.35421,6.18922,8.76836,0.0436914,0.277203,0.323393,9.79555,0.00372357,1.23664,1.07165,7.32049,0.0424305,0.150483,0.196673,5.87664,0.000923405,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32049,0.0424305,0.0660076,0.232897,0.0937089,0.0172062,0.0124334,0.252982,5.87664,0.000923405,3.91293
5,1.58753,1.52696,8.00161,0.10233,0.0863515,0.103554,9.99132,0.00408872,0.329358,0.268787,6.27801,0.0998085,0.0532742,0.070477,2.15568,0.00201441,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27801,0.0998085,0.131944,0.0855348,0.0312929,0.00630939,0.0189433,0.0731621,2.15568,0.00201441,7.82167
6,2.56373,2.44491,9.59099,0.185174,0.152553,0.187725,19.9471,0.00395579,0.558469,0.439642,6.27877,0.18013,0.104509,0.13968,4.27611,0.003836,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27877,0.18013,0.263879,0.169011,0.0607241,0.0125704,0.0343206,0.113978,4.27611,0.003836,15.6427
7,0.457157,0.453776,10.9048,0.5109,0.0287974,0.0322662,56.1921,0.00990455,0.373275,0.369893,0.0143252,0.493735,0.0167842,0.020253,0.474307,0.00968447,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143252,0.493735,0.9382,0.0165607,0.0190498,0.0012407,0.117924,0.051401,0.474307,0.00968447,55.6165
8,0.029227,0.0287981,0.0197717,0.00675037,0.000548423,0.000610025,0.0685749,1.49678e-05,0.00231792,0.00188896,0.0021564,0.00672942,8.95872e-05,0.000151189,0.000554067,1.46992e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.0021564,0.00672942,0.00114542,0.000109206,0.000100693,1.92527e-05,0.000334018,0.000757692,0.000554067,1.46992e-05,0.0679006
Total,38.5903,37.899,60.2405,0.894026,1.27394,1.44742,109.126,0.0304837,7.33665,6.64533,39.5943,0.867062,0.627678,0.801157,22.945,0.0176962,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5943,0.867062,1.4514,0.936639,0.41761,0.0685478,0.202992,1.32247,22.945,0.0176962,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65126,0.00726618,1.34261,7.57539,0.0183677,3.3939
