Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00247053,0.0722279,0.0743958,0.216149,0.000757995,0.163013,0.102567,1.40487,0.00246346,0.022511,0.0246788,0.189603,0.000757904,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00246346,0.000548211,0.0349453,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000757904,0.0324979
2,15.3154,15.1184,12.7286,0.0248892,0.481609,0.533031,7.80974,0.00580786,3.72925,3.53229,10.9703,0.024574,0.191833,0.243255,6.82607,0.000362523,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9703,0.024574,0.0166535,0.264283,0.150922,0.019883,0.00857674,0.568926,6.82607,0.000362523,0.987218
3,4.27745,4.19172,8.22926,0.050101,0.165914,0.187722,4.95864,0.00593102,0.944329,0.858603,7.32157,0.0494706,0.0794615,0.10127,2.99866,0.000739506,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32157,0.0494706,0.033024,0.120015,0.0520332,0.00868237,0.00772333,0.170495,2.99866,0.000739506,1.95766
4,6.35421,6.18922,8.76737,0.0774864,0.273038,0.321031,9.72359,0.00423854,1.23664,1.07165,7.3195,0.0762255,0.146318,0.194311,5.80467,0.00105215,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.3195,0.0762255,0.0660076,0.226446,0.0937089,0.0171296,0.0124334,0.252982,5.80467,0.00105215,3.91293
5,1.58753,1.52696,7.99986,0.190103,0.0842367,0.102619,9.94724,0.00531951,0.329358,0.268787,6.27625,0.187581,0.0511595,0.0695419,2.1116,0.00262981,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27625,0.187581,0.131944,0.0825351,0.0312929,0.00625925,0.0189433,0.0731621,2.1116,0.00262981,7.82167
6,2.56373,2.44491,9.58936,0.304705,0.147873,0.185229,19.8589,0.00452112,0.558469,0.439642,6.27715,0.299661,0.0998283,0.137184,4.18795,0.00440133,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27715,0.299661,0.263879,0.161927,0.0607241,0.0124775,0.0343206,0.113978,4.18795,0.00440133,15.6427
7,0.457157,0.453776,10.9047,0.743376,0.0281938,0.0318576,56.1834,0.0104299,0.373275,0.369893,0.014162,0.72621,0.0161806,0.0198444,0.465602,0.0102098,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014162,0.72621,0.9382,0.0155568,0.0190498,0.00123241,0.117924,0.051401,0.465602,0.0102098,55.6165
8,0.029227,0.0287981,0.0197385,0.0079188,0.000547771,0.000609992,0.0685728,1.74797e-05,0.00231792,0.00188896,0.00212324,0.00789784,8.89351e-05,0.000151156,0.000551928,1.7211e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00212324,0.00789784,0.00114542,0.000108547,0.000100693,1.92264e-05,0.000334018,0.000757692,0.000551928,1.7211e-05,0.0679006
Total,38.5903,37.899,60.2321,1.40105,1.25364,1.43649,108.766,0.0370234,7.33665,6.64533,39.5859,1.37408,0.607381,0.790235,22.5847,0.0201702,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5859,1.37408,1.4514,0.905818,0.41761,0.0681494,0.202992,1.32247,22.5847,0.0201702,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65696,0.00723995,1.33776,7.69817,0.018201,3.3631
