Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00249303,0.0722282,0.074396,0.216149,0.000722937,0.163013,0.102567,1.40487,0.00248596,0.0225112,0.024679,0.189603,0.000722846,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00248596,0.000548211,0.0349458,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000722846,0.0324979
2,15.3154,15.1184,12.7288,0.0257574,0.482257,0.533405,7.80976,0.0065356,3.72925,3.53229,10.9704,0.0254422,0.192481,0.24363,6.82608,0.000408007,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9704,0.0254422,0.0166535,0.265294,0.150922,0.0198946,0.00857674,0.568926,6.82608,0.000408007,0.987218
3,4.27745,4.19172,8.2294,0.0508547,0.166117,0.187797,4.95864,0.00621902,0.944329,0.858603,7.32171,0.0502243,0.0796647,0.101345,2.99866,0.000775505,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32171,0.0502243,0.033024,0.120289,0.0520332,0.0086878,0.00772333,0.170495,2.99866,0.000775505,1.95766
4,6.35421,6.18922,8.76765,0.0934276,0.274392,0.321875,9.74757,0.00477766,1.23664,1.07165,7.31978,0.0921668,0.147671,0.195155,5.82866,0.00118693,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31978,0.0921668,0.0660076,0.228622,0.0937089,0.0171513,0.0124334,0.252982,5.82866,0.00118693,3.91293
5,1.58753,1.52696,8.00018,0.193116,0.0846265,0.102793,9.95606,0.00530318,0.329358,0.268787,6.27657,0.190594,0.0515493,0.0697162,2.12042,0.00262164,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27657,0.190594,0.131944,0.08309,0.0312929,0.00626841,0.0189433,0.0731621,2.12042,0.00262164,7.82167
6,2.56373,2.44491,9.58997,0.361735,0.149925,0.186458,19.8942,0.0049329,0.558469,0.439642,6.27776,0.356691,0.101881,0.138413,4.22322,0.00481311,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27776,0.356691,0.263879,0.165174,0.0607241,0.0125125,0.0343206,0.113978,4.22322,0.00481311,15.6427
7,0.457157,0.453776,10.9046,0.783673,0.0282847,0.0319766,56.1816,0.010591,0.373275,0.369893,0.0141384,0.766508,0.0162715,0.0199634,0.46386,0.010371,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141384,0.766508,0.9382,0.015768,0.0190498,0.00123121,0.117924,0.051401,0.46386,0.010371,55.6165
8,0.029227,0.0287981,0.0197485,0.00788505,0.000547969,0.000610005,0.0685728,1.75218e-05,0.00231792,0.00188896,0.00213319,0.0078641,8.91335e-05,0.000151169,0.000551931,1.72532e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213319,0.0078641,0.00114542,0.00010875,0.000100693,1.92343e-05,0.000334018,0.000757692,0.000551931,1.72532e-05,0.0679006
Total,38.5903,37.899,60.2336,1.51894,1.25838,1.43931,108.833,0.0390999,7.33665,6.64533,39.5874,1.49198,0.612119,0.793053,22.6511,0.0209162,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5874,1.49198,1.4514,0.913292,0.41761,0.068231,0.202992,1.32247,22.6511,0.0209162,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65583,0.0072337,1.33661,7.6743,0.0181616,3.35581
