Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241053,0.0722294,0.0743972,0.216149,0.000699024,0.163013,0.102567,1.40487,0.00240346,0.0225124,0.0246803,0.189603,0.000698933,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00240346,0.000548211,0.0349482,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000698933,0.0324979
2,15.3154,15.1184,12.7287,0.0241692,0.481045,0.532387,7.80975,0.00535874,3.72925,3.53229,10.9703,0.023854,0.191269,0.242611,6.82607,0.000334453,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9703,0.023854,0.0166535,0.263071,0.150922,0.0198864,0.00857674,0.568926,6.82607,0.000334453,0.987218
3,4.27745,4.19172,8.23004,0.0480441,0.167132,0.18823,4.98261,0.005437,0.944329,0.858603,7.32235,0.0474137,0.0806796,0.101778,3.02263,0.000677754,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32235,0.0474137,0.033024,0.121712,0.0520332,0.00871254,0.00772333,0.170495,3.02263,0.000677754,1.95766
4,6.35421,6.18922,8.76769,0.0939189,0.274546,0.321958,9.74758,0.00494571,1.23664,1.07165,7.31982,0.092658,0.147826,0.195238,5.82866,0.00122894,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31982,0.092658,0.0660076,0.228857,0.0937089,0.0171543,0.0124334,0.252982,5.82866,0.00122894,3.91293
5,1.58753,1.52696,8.00056,0.197878,0.0850979,0.103012,9.96487,0.0056114,0.329358,0.268787,6.27695,0.195357,0.0520207,0.0699344,2.12924,0.00277575,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27695,0.195357,0.131944,0.0837689,0.0312929,0.00627917,0.0189433,0.0731621,2.12924,0.00277575,7.82167
6,2.56373,2.44491,9.58983,0.379802,0.149506,0.18624,19.8942,0.00516505,0.558469,0.439642,6.27761,0.374759,0.101461,0.138195,4.22321,0.00504525,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27761,0.374759,0.263879,0.164545,0.0607241,0.012504,0.0343206,0.113978,4.22321,0.00504525,15.6427
7,0.457157,0.453776,10.9047,0.916046,0.0284812,0.0320708,56.1868,0.0110971,0.373275,0.369893,0.0142241,0.898881,0.016468,0.0200576,0.469085,0.0108771,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142241,0.898881,0.9382,0.0160543,0.0190498,0.00123556,0.117924,0.051401,0.469085,0.0108771,55.6165
8,0.029227,0.0287981,0.0197645,0.00819327,0.000548286,0.000610022,0.0685749,1.79937e-05,0.00231792,0.00188896,0.00214921,0.00817232,8.94502e-05,0.000151186,0.000554065,1.77251e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214921,0.00817232,0.00114542,0.000109072,0.000100693,1.9247e-05,0.000334018,0.000757692,0.000554065,1.77251e-05,0.0679006
Total,38.5903,37.899,60.2345,1.67046,1.25859,1.4389,108.871,0.0383321,7.33665,6.64533,39.5883,1.6435,0.612326,0.792645,22.6891,0.0216559,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5883,1.6435,1.4514,0.913066,0.41761,0.0682571,0.202992,1.32247,22.6891,0.0216559,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65528,0.00722573,1.33514,7.66204,0.0181114,3.34654
