Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00246303,0.0722233,0.0743911,0.216149,0.000766295,0.163013,0.102567,1.40487,0.00245596,0.0225063,0.0246741,0.189603,0.000766205,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00245596,0.000548211,0.0349359,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000766205,0.0324979
2,15.3154,15.1184,12.729,0.025343,0.483285,0.534002,7.83727,0.00599302,3.72925,3.53229,10.9706,0.0250278,0.19351,0.244227,6.8536,0.000374096,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0250278,0.0166535,0.266902,0.150922,0.0199129,0.00857674,0.568926,6.8536,0.000374096,0.987218
3,4.27745,4.19172,8.22937,0.0504497,0.16605,0.187755,4.95864,0.00601499,0.944329,0.858603,7.32169,0.0498193,0.0795983,0.101303,2.99866,0.000750002,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32169,0.0498193,0.033024,0.120182,0.0520332,0.00868675,0.00772333,0.170495,2.99866,0.000750002,1.95766
4,6.35421,6.18922,8.76796,0.0992307,0.275313,0.322236,9.77156,0.00535847,1.23664,1.07165,7.32009,0.0979699,0.148593,0.195516,5.85265,0.00133213,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32009,0.0979699,0.0660076,0.229881,0.0937089,0.0171751,0.0124334,0.252982,5.85265,0.00133213,3.91293
5,1.58753,1.52696,8.00009,0.194764,0.0845195,0.102744,9.94725,0.00541134,0.329358,0.268787,6.27649,0.192242,0.0514423,0.0696667,2.11161,0.00267572,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27649,0.192242,0.131944,0.082936,0.0312929,0.00626596,0.0189433,0.0731621,2.11161,0.00267572,7.82167
6,2.56373,2.44491,9.5897,0.374144,0.149083,0.185979,19.8766,0.005055,0.558469,0.439642,6.27749,0.3691,0.101038,0.137935,4.20559,0.0049352,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27749,0.3691,0.263879,0.163868,0.0607241,0.012497,0.0343206,0.113978,4.20559,0.0049352,15.6427
7,0.457157,0.453776,10.9047,0.815115,0.0282755,0.0319345,56.1834,0.010819,0.373275,0.369893,0.014166,0.79795,0.0162623,0.0199213,0.465602,0.010599,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014166,0.79795,0.9382,0.0157152,0.0190498,0.00123261,0.117924,0.051401,0.465602,0.010599,55.6165
8,0.029227,0.0287981,0.0197335,0.00823267,0.000547673,0.000609987,0.0685728,1.77921e-05,0.00231792,0.00188896,0.00211827,0.00821172,8.88377e-05,0.000151152,0.000551927,1.75234e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00211827,0.00821172,0.00114542,0.000108449,0.000100693,1.92224e-05,0.000334018,0.000757692,0.000551927,1.75234e-05,0.0679006
Total,38.5903,37.899,60.2337,1.56974,1.2593,1.43965,108.859,0.039436,7.33665,6.64533,39.5875,1.54278,0.613038,0.793394,22.6779,0.0214498,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5875,1.54278,1.4514,0.914528,0.41761,0.0682556,0.202992,1.32247,22.6779,0.0214498,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65541,0.00723103,1.33612,7.6652,0.0181448,3.3527
