Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00238053,0.0722245,0.0743924,0.216149,0.00063248,0.163013,0.102567,1.40487,0.00237346,0.0225075,0.0246754,0.189603,0.00063239,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00237346,0.000548211,0.0349385,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.00063239,0.0324979
2,15.3154,15.1184,12.7289,0.0243624,0.482743,0.533619,7.80977,0.00546823,3.72925,3.53229,10.9706,0.0240472,0.192967,0.243843,6.8261,0.000341296,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0240472,0.0166535,0.265982,0.150922,0.0199062,0.00857674,0.568926,6.8261,0.000341296,0.987218
3,4.27745,4.19172,8.2299,0.0503597,0.166958,0.18818,4.98261,0.00609176,0.944329,0.858603,7.32221,0.0497293,0.0805055,0.101728,3.02263,0.000759598,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32221,0.0497293,0.033024,0.121493,0.0520332,0.00870726,0.00772333,0.170495,3.02263,0.000759598,1.95766
4,6.35421,6.18922,8.76727,0.0830345,0.273133,0.321312,9.72358,0.00447876,1.23664,1.07165,7.3194,0.0817736,0.146413,0.194592,5.80466,0.0011122,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.3194,0.0817736,0.0660076,0.226831,0.0937089,0.0171217,0.0124334,0.252982,5.80466,0.0011122,3.91293
5,1.58753,1.52696,8.00081,0.197841,0.0854071,0.10315,9.97369,0.00570428,0.329358,0.268787,6.2772,0.195319,0.0523299,0.0700729,2.13805,0.00282219,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.2772,0.195319,0.131944,0.0842093,0.0312929,0.00628642,0.0189433,0.0731621,2.13805,0.00282219,7.82167
6,2.56373,2.44491,9.59002,0.377584,0.150027,0.186503,19.8942,0.005196,0.558469,0.439642,6.2778,0.372541,0.101983,0.138458,4.22322,0.0050762,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2778,0.372541,0.263879,0.165318,0.0607241,0.0125149,0.0343206,0.113978,4.22322,0.0050762,15.6427
7,0.457157,0.453776,10.9046,0.798816,0.0282452,0.0319531,56.1816,0.0109542,0.373275,0.369893,0.0141251,0.78165,0.016232,0.0199399,0.46386,0.0107342,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141251,0.78165,0.9382,0.0157056,0.0190498,0.00123054,0.117924,0.051401,0.46386,0.0107342,55.6165
8,0.029227,0.0287981,0.0197529,0.0072086,0.000548057,0.00061001,0.0685749,1.58285e-05,0.00231792,0.00188896,0.00213761,0.00718765,8.92213e-05,0.000151174,0.000554061,1.55598e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213761,0.00718765,0.00114542,0.00010884,0.000100693,1.92378e-05,0.000334018,0.000757692,0.000554061,1.55598e-05,0.0679006
Total,38.5903,37.899,60.2345,1.54159,1.25929,1.43972,108.85,0.0385416,7.33665,6.64533,39.5883,1.51462,0.613026,0.793461,22.6687,0.0214936,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5883,1.51462,1.4514,0.914587,0.41761,0.0682522,0.202992,1.32247,22.6687,0.0214936,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65556,0.00723247,1.33638,7.66809,0.0181538,3.35437
