Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00244053,0.0722227,0.0743906,0.216149,0.000656786,0.163013,0.102567,1.40487,0.00243346,0.0225057,0.0246736,0.189603,0.000656695,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00243346,0.000548211,0.0349349,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000656695,0.0324979
2,15.3154,15.1184,12.729,0.025313,0.483099,0.533776,7.83727,0.00605168,3.72925,3.53229,10.9707,0.0249978,0.193323,0.244,6.8536,0.000377762,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9707,0.0249978,0.0166535,0.266486,0.150922,0.0199146,0.00857674,0.568926,6.8536,0.000377762,0.987218
3,4.27745,4.19172,8.22949,0.0509579,0.166309,0.187909,4.95865,0.00624311,0.944329,0.858603,7.3218,0.0503274,0.0798567,0.101457,2.99867,0.000778517,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.3218,0.0503274,0.033024,0.120589,0.0520332,0.00869121,0.00772333,0.170495,2.99867,0.000778517,1.95766
4,6.35421,6.18922,8.76715,0.0934782,0.272675,0.321072,9.6996,0.00478265,1.23664,1.07165,7.31928,0.0922174,0.145955,0.194352,5.78068,0.00118817,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31928,0.0922174,0.0660076,0.226141,0.0937089,0.0171124,0.0124334,0.252982,5.78068,0.00118817,3.91293
5,1.58753,1.52696,8.00012,0.195979,0.0845551,0.102763,9.94725,0.00548567,0.329358,0.268787,6.27651,0.193457,0.0514779,0.0696857,2.11161,0.00271289,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27651,0.193457,0.131944,0.0829899,0.0312929,0.00626667,0.0189433,0.0731621,2.11161,0.00271289,7.82167
6,2.56373,2.44491,9.58953,0.371933,0.148613,0.185743,19.8766,0.00507519,0.558469,0.439642,6.27731,0.36689,0.100568,0.137698,4.20558,0.0049554,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27731,0.36689,0.263879,0.163171,0.0607241,0.0124871,0.0343206,0.113978,4.20558,0.0049554,15.6427
7,0.457157,0.453776,10.9047,0.845511,0.0282776,0.0319214,56.1834,0.0108007,0.373275,0.369893,0.0141787,0.828345,0.0162644,0.0199082,0.465603,0.0105806,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141787,0.828345,0.9382,0.0157036,0.0190498,0.00123326,0.117924,0.051401,0.465603,0.0105806,55.6165
8,0.029227,0.0287981,0.019775,0.00754943,0.000548493,0.000610033,0.0685749,1.66947e-05,0.00231792,0.00188896,0.00215971,0.00752847,8.96572e-05,0.000151197,0.000554068,1.64261e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00215971,0.00752847,0.00114542,0.000109281,0.000100693,1.92553e-05,0.000334018,0.000757692,0.000554068,1.64261e-05,0.0679006
Total,38.5903,37.899,60.233,1.59316,1.2563,1.43818,108.787,0.0391125,7.33665,6.64533,39.5868,1.5662,0.61004,0.791925,22.6059,0.0212665,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5868,1.5662,1.4514,0.910125,0.41761,0.0681905,0.202992,1.32247,22.6059,0.0212665,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65655,0.00722985,1.3359,7.68964,0.0181373,3.35133
