Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00251553,0.0722273,0.0743951,0.216149,0.000766297,0.163013,0.102567,1.40487,0.00250846,0.0225103,0.0246782,0.189603,0.000766207,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00250846,0.000548211,0.034944,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000766207,0.0324979
2,15.3154,15.1184,12.7287,0.0248817,0.481975,0.533183,7.80975,0.00585161,3.72925,3.53229,10.9704,0.0245665,0.192199,0.243407,6.82608,0.000365258,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9704,0.0245665,0.0166535,0.264793,0.150922,0.0198921,0.00857674,0.568926,6.82608,0.000365258,0.987218
3,4.27745,4.19172,8.23025,0.0497335,0.167546,0.188451,4.99459,0.00574626,0.944329,0.858603,7.32256,0.0491031,0.0810944,0.101999,3.03461,0.000716411,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32256,0.0491031,0.033024,0.122339,0.0520332,0.00872079,0.00772333,0.170495,3.03461,0.000716411,1.95766
4,6.35421,6.18922,8.76726,0.0860814,0.273159,0.32137,9.72358,0.00458543,1.23664,1.07165,7.31938,0.0848205,0.146439,0.19465,5.80466,0.00113887,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31938,0.0848205,0.0660076,0.226916,0.0937089,0.0171204,0.0124334,0.252982,5.80466,0.00113887,3.91293
5,1.58753,1.52696,8.00052,0.175877,0.0850346,0.102976,9.96487,0.00489584,0.329358,0.268787,6.27691,0.173355,0.0519573,0.0698986,2.12924,0.00241797,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27691,0.173355,0.131944,0.0836708,0.0312929,0.006278,0.0189433,0.0731621,2.12924,0.00241797,7.82167
6,2.56373,2.44491,9.58982,0.334234,0.149507,0.186248,19.8942,0.00468439,0.558469,0.439642,6.2776,0.329191,0.101462,0.138204,4.22321,0.0045646,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2776,0.329191,0.263879,0.164555,0.0607241,0.0125036,0.0343206,0.113978,4.22321,0.0045646,15.6427
7,0.457157,0.453776,10.9047,0.850695,0.0283592,0.0319681,56.1851,0.0108913,0.373275,0.369893,0.0142079,0.83353,0.016346,0.0199549,0.467344,0.0106713,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142079,0.83353,0.9382,0.0158303,0.0190498,0.00123474,0.117924,0.051401,0.467344,0.0106713,55.6165
8,0.029227,0.0287981,0.0197358,0.00776317,0.000547718,0.000609991,0.0685728,1.68525e-05,0.00231792,0.00188896,0.00212048,0.00774222,8.88823e-05,0.000151155,0.000551927,1.65839e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00212048,0.00774222,0.00114542,0.000108495,0.000100693,1.92242e-05,0.000334018,0.000757692,0.000551927,1.65839e-05,0.0679006
Total,38.5903,37.899,60.2342,1.53178,1.25836,1.4392,108.857,0.037438,7.33665,6.64533,39.5881,1.50482,0.612098,0.792942,22.6753,0.0206572,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5881,1.50482,1.4514,0.913156,0.41761,0.0682348,0.202992,1.32247,22.6753,0.0206572,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.6555,0.00723299,1.33648,7.66671,0.0181571,3.35498
