Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00244053,0.0722294,0.0743973,0.216149,0.000749025,0.163013,0.102567,1.40487,0.00243346,0.0225124,0.0246803,0.189603,0.000748935,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00243346,0.000548211,0.0349482,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000748935,0.0324979
2,15.3154,15.1184,12.7287,0.0250149,0.481614,0.532976,7.80974,0.00573556,3.72925,3.53229,10.9703,0.0246997,0.191838,0.2432,6.82607,0.000358004,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9703,0.0246997,0.0166535,0.264231,0.150922,0.0198855,0.00857674,0.568926,6.82607,0.000358004,0.987218
3,4.27745,4.19172,8.2298,0.0499735,0.166755,0.188068,4.97063,0.00576105,0.944329,0.858603,7.32211,0.0493431,0.0803025,0.101616,3.01065,0.00071826,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32211,0.0493431,0.033024,0.121182,0.0520332,0.00870339,0.00772333,0.170495,3.01065,0.00071826,1.95766
4,6.35421,6.18922,8.76728,0.0984132,0.272917,0.321085,9.72358,0.00504474,1.23664,1.07165,7.31941,0.0971524,0.146197,0.194365,5.80466,0.0012537,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31941,0.0971524,0.0660076,0.226387,0.0937089,0.0171222,0.0124334,0.252982,5.80466,0.0012537,3.91293
5,1.58753,1.52696,7.99994,0.198051,0.0843336,0.102663,9.94724,0.00559691,0.329358,0.268787,6.27633,0.195529,0.0512564,0.0695855,2.11161,0.00276851,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27633,0.195529,0.131944,0.0826733,0.0312929,0.00626152,0.0189433,0.0731621,2.11161,0.00276851,7.82167
6,2.56373,2.44491,9.58972,0.342865,0.14919,0.186061,19.8766,0.00472378,0.558469,0.439642,6.27751,0.337821,0.101145,0.138016,4.20559,0.00460398,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27751,0.337821,0.263879,0.164056,0.0607241,0.0124981,0.0343206,0.113978,4.20559,0.00460398,15.6427
7,0.457157,0.453776,10.9047,0.819103,0.0284176,0.0320418,56.1851,0.0106818,0.373275,0.369893,0.0141951,0.801938,0.0164044,0.0200286,0.467344,0.0104617,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141951,0.801938,0.9382,0.0159631,0.0190498,0.00123409,0.117924,0.051401,0.467344,0.0104617,55.6165
8,0.029227,0.0287981,0.0197523,0.00751685,0.000548045,0.000610008,0.0685749,1.6929e-05,0.00231792,0.00188896,0.00213706,0.00749589,8.92089e-05,0.000151172,0.000554061,1.66604e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213706,0.00749589,0.00114542,0.000108826,0.000100693,1.92373e-05,0.000334018,0.000757692,0.000554061,1.66604e-05,0.0679006
Total,38.5903,37.899,60.2331,1.54338,1.256,1.4379,108.798,0.0383098,7.33665,6.64533,39.5869,1.51641,0.609745,0.791643,22.6161,0.0209297,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5869,1.51641,1.4514,0.909549,0.41761,0.06819,0.202992,1.32247,22.6161,0.0209297,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65642,0.00723245,1.33638,7.68667,0.0181537,3.35435
