Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00240303,0.0722231,0.0743909,0.216149,0.000636657,0.163013,0.102567,1.40487,0.00239596,0.0225061,0.024674,0.189603,0.000636566,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00239596,0.000548211,0.0349356,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000636566,0.0324979
2,15.3154,15.1184,12.7289,0.025748,0.483162,0.533911,7.83727,0.00667461,3.72925,3.53229,10.9706,0.0254328,0.193386,0.244135,6.8536,0.000416695,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0254328,0.0166535,0.266688,0.150922,0.0199116,0.00857674,0.568926,6.8536,0.000416695,0.987218
3,4.27745,4.19172,8.22915,0.0469266,0.165758,0.187666,4.94666,0.00530995,0.944329,0.858603,7.32146,0.0462962,0.0793056,0.101214,2.98668,0.000661872,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32146,0.0462962,0.033024,0.119808,0.0520332,0.00867811,0.00772333,0.170495,2.98668,0.000661872,1.95766
4,6.35421,6.18922,8.76732,0.0995495,0.272979,0.321081,9.72358,0.00541229,1.23664,1.07165,7.31944,0.0982886,0.146259,0.194361,5.80467,0.00134559,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31944,0.0982886,0.0660076,0.226442,0.0937089,0.017125,0.0124334,0.252982,5.80467,0.00134559,3.91293
5,1.58753,1.52696,8.00089,0.201319,0.0855084,0.103195,9.97369,0.0060218,0.329358,0.268787,6.27729,0.198797,0.0524312,0.0701182,2.13805,0.00298095,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27729,0.198797,0.131944,0.0843535,0.0312929,0.00628881,0.0189433,0.0731621,2.13805,0.00298095,7.82167
6,2.56373,2.44491,9.59002,0.391874,0.149982,0.186448,19.8942,0.00543955,0.558469,0.439642,6.27781,0.38683,0.101937,0.138404,4.22322,0.00531975,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27781,0.38683,0.263879,0.165218,0.0607241,0.0125153,0.0343206,0.113978,4.22322,0.00531975,15.6427
7,0.457157,0.453776,10.9047,0.879902,0.0285243,0.03212,56.1868,0.0111633,0.373275,0.369893,0.014219,0.862737,0.0165111,0.0201068,0.469084,0.0109432,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.014219,0.862737,0.9382,0.0161468,0.0190498,0.00123531,0.117924,0.051401,0.469084,0.0109432,55.6165
8,0.029227,0.0287981,0.0197778,0.00803921,0.000548549,0.000610038,0.0685749,1.73804e-05,0.00231792,0.00188896,0.00216248,0.00801826,8.97139e-05,0.000151202,0.000554069,1.71118e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00216248,0.00801826,0.00114542,0.000109341,0.000100693,1.92575e-05,0.000334018,0.000757692,0.000554069,1.71118e-05,0.0679006
Total,38.5903,37.899,60.2341,1.65576,1.25869,1.43942,108.847,0.0406755,7.33665,6.64533,39.5879,1.6288,0.612427,0.793164,22.6655,0.0223217,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5879,1.6288,1.4514,0.913702,0.41761,0.0682393,0.202992,1.32247,22.6655,0.0223217,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65559,0.00722652,1.33528,7.66913,0.0181164,3.34746
