Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00245553,0.0722256,0.0743934,0.216149,0.000733232,0.163013,0.102567,1.40487,0.00244846,0.0225086,0.0246764,0.189603,0.000733142,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00244846,0.000548211,0.0349406,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000733142,0.0324979
2,15.3154,15.1184,12.7288,0.0246005,0.482331,0.533384,7.80976,0.005534,3.72925,3.53229,10.9705,0.0242853,0.192555,0.243608,6.82609,0.000345407,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.0242853,0.0166535,0.265342,0.150922,0.0198986,0.00857674,0.568926,6.82609,0.000345407,0.987218
3,4.27745,4.19172,8.22968,0.0498385,0.166559,0.187983,4.97063,0.0057177,0.944329,0.858603,7.32199,0.0492081,0.0801074,0.101531,3.01065,0.00071284,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32199,0.0492081,0.033024,0.120907,0.0520332,0.0086987,0.00772333,0.170495,3.01065,0.00071284,1.95766
4,6.35421,6.18922,8.76694,0.0967014,0.271743,0.32053,9.69958,0.00493514,1.23664,1.07165,7.31907,0.0954405,0.145023,0.19381,5.78067,0.0012263,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31907,0.0954405,0.0660076,0.224684,0.0937089,0.0170959,0.0124334,0.252982,5.78067,0.0012263,3.91293
5,1.58753,1.52696,8.00045,0.196631,0.0849525,0.102937,9.96487,0.00548576,0.329358,0.268787,6.27684,0.19411,0.0518753,0.0698593,2.12923,0.00271293,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27684,0.19411,0.131944,0.0835514,0.0312929,0.00627618,0.0189433,0.0731621,2.12923,0.00271293,7.82167
6,2.56373,2.44491,9.58954,0.3793,0.148605,0.185721,19.8766,0.00507,0.558469,0.439642,6.27733,0.374256,0.10056,0.137676,4.20558,0.00495021,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27733,0.374256,0.263879,0.163141,0.0607241,0.0124877,0.0343206,0.113978,4.20558,0.00495021,15.6427
7,0.457157,0.453776,10.9047,0.761852,0.0283625,0.0319771,56.1851,0.0104837,0.373275,0.369893,0.0142032,0.744687,0.0163493,0.0199639,0.467344,0.0102636,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142032,0.744687,0.9382,0.0158429,0.0190498,0.0012345,0.117924,0.051401,0.467344,0.0102636,55.6165
8,0.029227,0.0287981,0.0197579,0.00788394,0.000548155,0.000610015,0.0685749,1.75246e-05,0.00231792,0.00188896,0.00214258,0.00786298,8.93193e-05,0.000151179,0.000554063,1.7256e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214258,0.00786298,0.00114542,0.000108939,0.000100693,1.92417e-05,0.000334018,0.000757692,0.000554063,1.7256e-05,0.0679006
Total,38.5903,37.899,60.2331,1.51926,1.25533,1.43753,108.791,0.037977,7.33665,6.64533,39.5869,1.4923,0.609068,0.791276,22.6097,0.0209617,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5869,1.4923,1.4514,0.908518,0.41761,0.0681768,0.202992,1.32247,22.6097,0.0209617,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65653,0.00723371,1.33661,7.68903,0.0181616,3.35582
