Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00244053,0.0722267,0.0743946,0.216149,0.000719214,0.163013,0.102567,1.40487,0.00243346,0.0225097,0.0246776,0.189603,0.000719123,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00243346,0.000548211,0.0349428,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000719123,0.0324979
2,15.3154,15.1184,12.7287,0.0253992,0.482216,0.533392,7.80975,0.0060165,3.72925,3.53229,10.9704,0.025084,0.19244,0.243616,6.82608,0.000375563,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9704,0.025084,0.0166535,0.265241,0.150922,0.0198934,0.00857674,0.568926,6.82608,0.000375563,0.987218
3,4.27745,4.19172,8.2301,0.0502772,0.167275,0.188315,4.98262,0.00588179,0.944329,0.858603,7.32241,0.0496468,0.0808225,0.101863,3.02263,0.000733352,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32241,0.0496468,0.033024,0.121938,0.0520332,0.00871498,0.00772333,0.170495,3.02263,0.000733352,1.95766
4,6.35421,6.18922,8.76724,0.097217,0.273071,0.321305,9.72357,0.00519665,1.23664,1.07165,7.31937,0.0959561,0.14635,0.194585,5.80466,0.00129168,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31937,0.0959561,0.0660076,0.226763,0.0937089,0.0171194,0.0124334,0.252982,5.80466,0.00129168,3.91293
5,1.58753,1.52696,8.00067,0.202031,0.0852405,0.103081,9.96488,0.00597192,0.329358,0.268787,6.27706,0.19951,0.0521633,0.0700039,2.12924,0.00295601,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27706,0.19951,0.131944,0.0839778,0.0312929,0.00628228,0.0189433,0.0731621,2.12924,0.00295601,7.82167
6,2.56373,2.44491,9.59002,0.373782,0.150039,0.186516,19.8942,0.00504292,0.558469,0.439642,6.2778,0.368738,0.101995,0.138472,4.22322,0.00492312,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2778,0.368738,0.263879,0.165344,0.0607241,0.0125149,0.0343206,0.113978,4.22322,0.00492312,15.6427
7,0.457157,0.453776,10.9047,0.797138,0.0283494,0.0319701,56.1851,0.0107895,0.373275,0.369893,0.0141981,0.779972,0.0163362,0.0199568,0.467344,0.0105694,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141981,0.779972,0.9382,0.015823,0.0190498,0.00123424,0.117924,0.051401,0.467344,0.0105694,55.6165
8,0.029227,0.0287981,0.0197529,0.0079739,0.000548057,0.000610009,0.0685749,1.73956e-05,0.00231792,0.00188896,0.00213761,0.00795294,8.92209e-05,0.000151174,0.000554061,1.7127e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213761,0.00795294,0.00114542,0.000108839,0.000100693,1.92378e-05,0.000334018,0.000757692,0.000554061,1.7127e-05,0.0679006
Total,38.5903,37.899,60.2344,1.55626,1.25897,1.43958,108.845,0.0396359,7.33665,6.64533,39.5883,1.52929,0.612706,0.793325,22.6633,0.0215854,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5883,1.52929,1.4514,0.914138,0.41761,0.0682444,0.202992,1.32247,22.6633,0.0215854,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65563,0.0072317,1.33624,7.6699,0.018149,3.35348
