Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00240303,0.0722251,0.074393,0.216149,0.000625545,0.163013,0.102567,1.40487,0.00239596,0.0225081,0.024676,0.189603,0.000625454,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00239596,0.000548211,0.0349397,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000625454,0.0324979
2,15.3154,15.1184,12.7288,0.0244017,0.482687,0.53375,7.80976,0.00548298,3.72925,3.53229,10.9705,0.0240865,0.192911,0.243974,6.82609,0.000342218,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9705,0.0240865,0.0166535,0.266066,0.150922,0.0198982,0.00857674,0.568926,6.82609,0.000342218,0.987218
3,4.27745,4.19172,8.22927,0.0503241,0.165988,0.187786,4.95864,0.00611993,0.944329,0.858603,7.32158,0.0496937,0.0795356,0.101334,2.99866,0.000763119,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32158,0.0496937,0.033024,0.120153,0.0520332,0.00868279,0.00772333,0.170495,2.99866,0.000763119,1.95766
4,6.35421,6.18922,8.76805,0.0983589,0.275615,0.322369,9.77157,0.00531685,1.23664,1.07165,7.32018,0.097098,0.148895,0.195649,5.85265,0.00132172,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32018,0.097098,0.0660076,0.230308,0.0937089,0.0171823,0.0124334,0.252982,5.85265,0.00132172,3.91293
5,1.58753,1.52696,8.00142,0.176147,0.0861328,0.103469,9.99131,0.00501877,0.329358,0.268787,6.27781,0.173625,0.0530555,0.0703918,2.15567,0.00247944,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27781,0.173625,0.131944,0.0852365,0.0312929,0.00630372,0.0189433,0.0731621,2.15567,0.00247944,7.82167
6,2.56373,2.44491,9.5904,0.37429,0.151151,0.187114,19.9295,0.00526345,0.558469,0.439642,6.27818,0.369246,0.103107,0.139069,4.25847,0.00514365,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27818,0.369246,0.263879,0.167031,0.0607241,0.0125368,0.0343206,0.113978,4.25847,0.00514365,15.6427
7,0.457157,0.453776,10.9046,0.961209,0.0283229,0.0319977,56.1834,0.0115696,0.373275,0.369893,0.0141528,0.944044,0.0163097,0.0199844,0.465601,0.0113495,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141528,0.944044,0.9382,0.0158264,0.0190498,0.00123194,0.117924,0.051401,0.465601,0.0113495,55.6165
8,0.029227,0.0287981,0.0197485,0.00736651,0.00054797,0.000610005,0.0685728,1.56828e-05,0.00231792,0.00188896,0.00213319,0.00734556,8.91342e-05,0.00015117,0.000551931,1.54142e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213319,0.00734556,0.00114542,0.000108751,0.000100693,1.92343e-05,0.000334018,0.000757692,0.000551931,1.54142e-05,0.0679006
Total,38.5903,37.899,60.2356,1.6945,1.26267,1.44149,108.929,0.0394128,7.33665,6.64533,39.5894,1.66754,0.61641,0.795229,22.7473,0.0220405,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5894,1.66754,1.4514,0.91967,0.41761,0.0683209,0.202992,1.32247,22.7473,0.0220405,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.6543,0.00722442,1.33489,7.64135,0.0181032,3.34502
