Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00246303,0.0722255,0.0743934,0.216149,0.000741307,0.163013,0.102567,1.40487,0.00245596,0.0225085,0.0246764,0.189603,0.000741216,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00245596,0.000548211,0.0349405,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000741216,0.0324979
2,15.3154,15.1184,12.7289,0.0250242,0.482848,0.533703,7.80977,0.00611928,3.72925,3.53229,10.9706,0.024709,0.193072,0.243927,6.8261,0.000381987,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.024709,0.0166535,0.266171,0.150922,0.019907,0.00857674,0.568926,6.8261,0.000381987,0.987218
3,4.27745,4.19172,8.23087,0.0496772,0.168578,0.188917,5.01855,0.00577847,0.944329,0.858603,7.32318,0.0490468,0.0821258,0.102465,3.05857,0.000720438,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32318,0.0490468,0.033024,0.123813,0.0520332,0.00874481,0.00772333,0.170495,3.05857,0.000720438,1.95766
4,6.35421,6.18922,8.76744,0.0977251,0.273939,0.321807,9.72359,0.0050929,1.23664,1.07165,7.31957,0.0964643,0.147219,0.195087,5.80468,0.00126574,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31957,0.0964643,0.0660076,0.228118,0.0937089,0.0171349,0.0124334,0.252982,5.80468,0.00126574,3.91293
5,1.58753,1.52696,7.99976,0.177923,0.0841367,0.102587,9.93843,0.00486576,0.329358,0.268787,6.27615,0.175401,0.0510595,0.0695095,2.10279,0.00240293,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27615,0.175401,0.131944,0.0824055,0.0312929,0.00625637,0.0189433,0.0731621,2.10279,0.00240293,7.82167
6,2.56373,2.44491,9.58934,0.341039,0.147966,0.185355,19.8589,0.00471228,0.558469,0.439642,6.27712,0.335995,0.099921,0.137311,4.18794,0.00459249,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27712,0.335995,0.263879,0.162148,0.0607241,0.0124761,0.0343206,0.113978,4.18794,0.00459249,15.6427
7,0.457157,0.453776,10.9046,0.781946,0.0282135,0.0318956,56.1834,0.0106108,0.373275,0.369893,0.0141467,0.764781,0.0162003,0.0198824,0.465601,0.0103907,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141467,0.764781,0.9382,0.0156153,0.0190498,0.00123163,0.117924,0.051401,0.465601,0.0103907,55.6165
8,0.029227,0.0287981,0.0197778,0.00760306,0.000548548,0.000610037,0.0685749,1.68007e-05,0.00231792,0.00188896,0.00216248,0.00758211,8.97127e-05,0.000151201,0.000554069,1.65321e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00216248,0.00758211,0.00114542,0.000109338,0.000100693,1.92575e-05,0.000334018,0.000757692,0.000554069,1.65321e-05,0.0679006
Total,38.5903,37.899,60.234,1.4834,1.25845,1.43927,108.817,0.0379376,7.33665,6.64533,39.5878,1.45644,0.612195,0.793009,22.6358,0.0205121,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5878,1.45644,1.4514,0.913319,0.41761,0.0682361,0.202992,1.32247,22.6358,0.0205121,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65607,0.00723554,1.33695,7.67927,0.0181732,3.35795
