Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241803,0.0722272,0.0743951,0.216149,0.000732616,0.163013,0.102567,1.40487,0.00241096,0.0225103,0.0246781,0.189603,0.000732526,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00241096,0.000548211,0.0349439,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000732526,0.0324979
2,15.3154,15.1184,12.7289,0.0250055,0.482123,0.533029,7.80977,0.00573005,3.72925,3.53229,10.9706,0.0246903,0.192347,0.243253,6.8261,0.00035766,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0246903,0.0166535,0.264774,0.150922,0.0199049,0.00857674,0.568926,6.8261,0.00035766,0.987218
3,4.27745,4.19172,8.2299,0.0491054,0.166965,0.188187,4.98261,0.00561741,0.944329,0.858603,7.32221,0.0484749,0.0805132,0.101735,3.02263,0.000700304,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32221,0.0484749,0.033024,0.121508,0.0520332,0.00870729,0.00772333,0.170495,3.02263,0.000700304,1.95766
4,6.35421,6.18922,8.76718,0.0944739,0.272734,0.321088,9.72357,0.0048471,1.23664,1.07165,7.31931,0.093213,0.146013,0.194368,5.80465,0.00120429,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31931,0.093213,0.0660076,0.226215,0.0937089,0.0171142,0.0124334,0.252982,5.80465,0.00120429,3.91293
5,1.58753,1.52696,7.99996,0.189285,0.0843461,0.102661,9.94724,0.00517692,0.329358,0.268787,6.27635,0.186764,0.0512689,0.0695833,2.11161,0.00255851,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27635,0.186764,0.131944,0.082683,0.0312929,0.00626214,0.0189433,0.0731621,2.11161,0.00255851,7.82167
6,2.56373,2.44491,9.58949,0.389657,0.148179,0.185365,19.8766,0.00535611,0.558469,0.439642,6.27727,0.384614,0.100134,0.13732,4.20557,0.00523632,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27727,0.384614,0.263879,0.162362,0.0607241,0.0124847,0.0343206,0.113978,4.20557,0.00523632,15.6427
7,0.457157,0.453776,10.9047,0.861437,0.0282248,0.0318936,56.1834,0.0108385,0.373275,0.369893,0.0141578,0.844272,0.0162116,0.0198804,0.465602,0.0106185,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141578,0.844272,0.9382,0.0156241,0.0190498,0.0012322,0.117924,0.051401,0.465602,0.0106185,55.6165
8,0.029227,0.0287981,0.0197894,0.00744068,0.000548778,0.00061005,0.0685771,1.66525e-05,0.00231792,0.00188896,0.00217408,0.00741973,8.99427e-05,0.000151215,0.000556201,1.63838e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00217408,0.00741973,0.00114542,0.000109573,0.000100693,1.92667e-05,0.000334018,0.000757692,0.000556201,1.63838e-05,0.0679006
Total,38.5903,37.899,60.2331,1.61882,1.25535,1.43723,108.808,0.0383154,7.33665,6.64533,39.5869,1.59186,0.609088,0.79097,22.6263,0.0214245,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5869,1.59186,1.4514,0.908219,0.41761,0.0681907,0.202992,1.32247,22.6263,0.0214245,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65629,0.0072285,1.33565,7.68367,0.0181288,3.34976
