Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00243303,0.0722261,0.074394,0.216149,0.000730661,0.163013,0.102567,1.40487,0.00242596,0.0225091,0.024677,0.189603,0.000730571,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00242596,0.000548211,0.0349416,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000730571,0.0324979
2,15.3154,15.1184,12.7289,0.0238224,0.483004,0.533759,7.83727,0.0053883,3.72925,3.53229,10.9706,0.0235072,0.193228,0.243983,6.8536,0.000336301,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0235072,0.0166535,0.266378,0.150922,0.0199113,0.00857674,0.568926,6.8536,0.000336301,0.987218
3,4.27745,4.19172,8.22958,0.0478847,0.166419,0.187934,4.97062,0.00542125,0.944329,0.858603,7.32189,0.0472543,0.0799665,0.101482,3.01064,0.000675785,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32189,0.0472543,0.033024,0.120721,0.0520332,0.0086948,0.00772333,0.170495,3.01064,0.000675785,1.95766
4,6.35421,6.18922,8.76728,0.0897845,0.273312,0.321485,9.72358,0.00475753,1.23664,1.07165,7.31941,0.0885236,0.146591,0.194765,5.80466,0.00118189,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31941,0.0885236,0.0660076,0.227182,0.0937089,0.017122,0.0124334,0.252982,5.80466,0.00118189,3.91293
5,1.58753,1.52696,8.00047,0.191119,0.0850104,0.10298,9.96487,0.00532361,0.329358,0.268787,6.27687,0.188597,0.0519331,0.0699028,2.12924,0.00263186,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27687,0.188597,0.131944,0.0836521,0.0312929,0.00627679,0.0189433,0.0731621,2.12924,0.00263186,7.82167
6,2.56373,2.44491,9.58989,0.382292,0.149488,0.186138,19.8942,0.00518921,0.558469,0.439642,6.27767,0.377249,0.101443,0.138093,4.22321,0.00506942,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27767,0.377249,0.263879,0.164421,0.0607241,0.0125075,0.0343206,0.113978,4.22321,0.00506942,15.6427
7,0.457157,0.453776,10.9046,0.841839,0.0282864,0.031956,56.1834,0.0108452,0.373275,0.369893,0.0141571,0.824674,0.0162732,0.0199428,0.465602,0.0106251,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141571,0.824674,0.9382,0.0157481,0.0190498,0.00123216,0.117924,0.051401,0.465602,0.0106251,55.6165
8,0.029227,0.0287981,0.0197568,0.00770576,0.000548133,0.000610014,0.0685749,1.68773e-05,0.00231792,0.00188896,0.00214148,0.00768481,8.92973e-05,0.000151178,0.000554063,1.66087e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00214148,0.00768481,0.00114542,0.000108916,0.000100693,1.92408e-05,0.000334018,0.000757692,0.000554063,1.66087e-05,0.0679006
Total,38.5903,37.899,60.2338,1.58688,1.25829,1.43926,108.859,0.0376726,7.33665,6.64533,39.5876,1.55992,0.612034,0.792997,22.6771,0.0212675,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5876,1.55992,1.4514,0.913152,0.41761,0.0682297,0.202992,1.32247,22.6771,0.0212675,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65547,0.00723013,1.33595,7.66594,0.0181391,3.35166
