Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00144303,0.0722137,0.0743816,0.216149,0.000387767,0.163013,0.102567,1.40487,0.00143596,0.0224968,0.0246646,0.189603,0.000387676,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00143596,0.000548211,0.0349169,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000387676,0.0324979
2,15.3154,15.1184,12.729,0.0114286,0.484203,0.534877,7.83727,0.00403402,3.72925,3.53229,10.9707,0.0111134,0.194427,0.245101,6.8536,0.000251658,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9707,0.0111134,0.0166535,0.268691,0.150922,0.0199147,0.00857674,0.568926,6.8536,0.000251658,0.987218
3,4.27745,4.19172,8.23224,0.0328716,0.170747,0.189834,5.06647,0.00438589,0.944329,0.858603,7.32455,0.0322412,0.0842954,0.103382,3.10649,0.000546364,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32455,0.0322412,0.033024,0.126846,0.0520332,0.00879806,0.00772333,0.170495,3.10649,0.000546364,1.95766
4,6.35421,6.18922,8.76783,0.036482,0.275301,0.322455,9.77155,0.00366501,1.23664,1.07165,7.31996,0.0352211,0.148581,0.195735,5.85264,0.000908766,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31996,0.0352211,0.0660076,0.230098,0.0937089,0.0171653,0.0124334,0.252982,5.85264,0.000908766,3.91293
5,1.58753,1.52696,8.00121,0.0735096,0.0858555,0.10333,9.9825,0.00395341,0.329358,0.268787,6.2776,0.0709879,0.0527783,0.0702523,2.14686,0.00194676,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.2776,0.0709879,0.131944,0.0848257,0.0312929,0.00629786,0.0189433,0.0731621,2.14686,0.00194676,7.82167
6,2.56373,2.44491,9.59044,0.149472,0.151185,0.187087,19.9295,0.00390946,0.558469,0.439642,6.27823,0.144428,0.10314,0.139042,4.25847,0.00378967,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27823,0.144428,0.263879,0.167036,0.0607241,0.0125393,0.0343206,0.113978,4.25847,0.00378967,15.6427
7,0.457157,0.453776,10.9048,0.51489,0.0286896,0.032222,56.1886,0.00990659,0.373275,0.369893,0.0142719,0.497725,0.0166764,0.0202088,0.470826,0.00968651,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142719,0.497725,0.9382,0.0164114,0.0190498,0.00123799,0.117924,0.051401,0.470826,0.00968651,55.6165
8,0.029227,0.0287981,0.0197744,0.00679539,0.000548479,0.00061003,0.0685749,1.51841e-05,0.00231792,0.00188896,0.00215916,0.00677443,8.96436e-05,0.000151194,0.000554068,1.49155e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00215916,0.00677443,0.00114542,0.000109265,0.000100693,1.92549e-05,0.000334018,0.000757692,0.000554068,1.49155e-05,0.0679006
Total,38.5903,37.899,60.2385,0.826892,1.26874,1.4448,109.061,0.0302573,7.33665,6.64533,39.5923,0.799927,0.622484,0.798536,22.879,0.0175323,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5923,0.799927,1.4514,0.928934,0.41761,0.0684385,0.202992,1.32247,22.879,0.0175323,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65235,0.00726983,1.34329,7.59842,0.0183911,3.39822
