Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00241053,0.0722323,0.0744002,0.216149,0.000655847,0.163013,0.102567,1.40487,0.00240346,0.0225153,0.0246832,0.189603,0.000655757,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00240346,0.000548211,0.0349541,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000655757,0.0324979
2,15.3154,15.1184,12.7287,0.0226599,0.481601,0.532914,7.80975,0.00490837,3.72925,3.53229,10.9704,0.0223447,0.191825,0.243138,6.82608,0.000306305,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9704,0.0223447,0.0166535,0.264154,0.150922,0.0198876,0.00857674,0.568926,6.82608,0.000306305,0.987218
3,4.27745,4.19172,8.22765,0.0471647,0.161597,0.184877,4.8987,0.00535114,0.944329,0.858603,7.31996,0.0465343,0.0751448,0.0984254,2.93871,0.000667021,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.31996,0.0465343,0.033024,0.112917,0.0520332,0.00861978,0.00772333,0.170495,2.93871,0.000667021,1.95766
4,6.35421,6.18922,8.76924,0.0970276,0.275341,0.319925,9.86749,0.00535019,1.23664,1.07165,7.32137,0.0957668,0.148621,0.193204,5.94857,0.00133006,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32137,0.0957668,0.0660076,0.227498,0.0937089,0.0172745,0.0124334,0.252982,5.94857,0.00133006,3.91293
5,1.58753,1.52696,8.00284,0.162454,0.0877959,0.104173,10.0265,0.00458755,0.329358,0.268787,6.27924,0.159932,0.0547187,0.0710953,2.19091,0.00226383,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27924,0.159932,0.131944,0.0875624,0.0312929,0.00634451,0.0189433,0.0731621,2.19091,0.00226383,7.82167
6,2.56373,2.44491,9.59152,0.284879,0.153782,0.188235,19.9823,0.00420636,0.558469,0.439642,6.27931,0.279835,0.105738,0.14019,4.31136,0.00408656,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27931,0.279835,0.263879,0.170719,0.0607241,0.0126009,0.0343206,0.113978,4.31136,0.00408656,15.6427
7,0.457157,0.453776,10.9047,0.857079,0.0286335,0.0321867,56.1886,0.0113862,0.373275,0.369893,0.0142545,0.839914,0.0166203,0.0201735,0.470826,0.0111662,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0142545,0.839914,0.9382,0.0163209,0.0190498,0.00123711,0.117924,0.051401,0.470826,0.0111662,55.6165
8,0.029227,0.0287981,0.0197092,0.00715348,0.000547191,0.000609959,0.0685707,1.50451e-05,0.00231792,0.00188896,0.00209395,0.00713252,8.83557e-05,0.000151124,0.000549789,1.47765e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00209395,0.00713252,0.00114542,0.000107958,0.000100693,1.92031e-05,0.000334018,0.000757692,0.000549789,1.47765e-05,0.0679006
Total,38.5903,37.899,60.2376,1.48083,1.26153,1.43732,109.058,0.0364608,7.33665,6.64533,39.5914,1.45386,0.615271,0.791061,22.8766,0.0204905,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5914,1.45386,1.4514,0.914234,0.41761,0.0684496,0.202992,1.32247,22.8766,0.0204905,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65251,0.00723548,1.33694,7.60285,0.0181728,3.35788
