Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00250803,0.0722279,0.0743957,0.216149,0.000828531,0.163013,0.102567,1.40487,0.00250096,0.0225109,0.0246787,0.189603,0.00082844,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00250096,0.000548211,0.0349451,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.00082844,0.0324979
2,15.3154,15.1184,12.7286,0.024383,0.481675,0.533138,7.80974,0.0055128,3.72925,3.53229,10.9703,0.0240678,0.191899,0.243362,6.82607,0.000344082,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9703,0.0240678,0.0166535,0.264458,0.150922,0.0198813,0.00857674,0.568926,6.82607,0.000344082,0.987218
3,4.27745,4.19172,8.2298,0.0512729,0.166802,0.188116,4.97063,0.00645948,0.944329,0.858603,7.32211,0.0506424,0.08035,0.101664,3.01065,0.000805564,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32211,0.0506424,0.033024,0.121277,0.0520332,0.00870339,0.00772333,0.170495,3.01065,0.000805564,1.95766
4,6.35421,6.18922,8.76755,0.097607,0.274285,0.321962,9.74757,0.00521421,1.23664,1.07165,7.31968,0.0963461,0.147564,0.195242,5.82865,0.00129607,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31968,0.0963461,0.0660076,0.22861,0.0937089,0.017143,0.0124334,0.252982,5.82865,0.00129607,3.91293
5,1.58753,1.52696,8.00047,0.190337,0.0849922,0.102965,9.96487,0.00525689,0.329358,0.268787,6.27686,0.187815,0.051915,0.0698878,2.12924,0.00259849,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27686,0.187815,0.131944,0.0836191,0.0312929,0.00627666,0.0189433,0.0731621,2.12924,0.00259849,7.82167
6,2.56373,2.44491,9.58991,0.376598,0.149644,0.186261,19.8942,0.00509065,0.558469,0.439642,6.2777,0.371555,0.101599,0.138216,4.22322,0.00497085,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2777,0.371555,0.263879,0.164699,0.0607241,0.0125089,0.0343206,0.113978,4.22322,0.00497085,15.6427
7,0.457157,0.453776,10.9046,0.903458,0.0281803,0.0318897,56.1816,0.0110683,0.373275,0.369893,0.0141239,0.886292,0.0161671,0.0198765,0.46386,0.0108482,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141239,0.886292,0.9382,0.0155773,0.0190498,0.00123047,0.117924,0.051401,0.46386,0.0108482,55.6165
8,0.029227,0.0287981,0.0197369,0.00805683,0.00054774,0.000609992,0.0685728,1.717e-05,0.00231792,0.00188896,0.00212158,0.00803588,8.89041e-05,0.000151156,0.000551928,1.69014e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00212158,0.00803588,0.00114542,0.000108517,0.000100693,1.9225e-05,0.000334018,0.000757692,0.000551928,1.69014e-05,0.0679006
Total,38.5903,37.899,60.2339,1.65422,1.25835,1.43934,108.853,0.039448,7.33665,6.64533,39.5877,1.62726,0.612095,0.793077,22.6718,0.0217086,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5877,1.62726,1.4514,0.913295,0.41761,0.0682289,0.202992,1.32247,22.6718,0.0217086,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65552,0.00722661,1.3353,7.66743,0.0181169,3.34756
