Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00247053,0.0722277,0.0743956,0.216149,0.000799103,0.163013,0.102567,1.40487,0.00246346,0.0225107,0.0246786,0.189603,0.000799013,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00246346,0.000548211,0.0349449,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000799013,0.0324979
2,15.3154,15.1184,12.7287,0.025838,0.481657,0.533031,7.80974,0.00681007,3.72925,3.53229,10.9703,0.0255228,0.191881,0.243255,6.82607,0.000425162,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9703,0.0255228,0.0166535,0.264329,0.150922,0.019885,0.00857674,0.568926,6.82607,0.000425162,0.987218
3,4.27745,4.19172,8.22978,0.0511716,0.166674,0.18801,4.97063,0.00638562,0.944329,0.858603,7.32209,0.0505412,0.0802217,0.101558,3.01065,0.00079633,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32209,0.0505412,0.033024,0.121044,0.0520332,0.00870241,0.00772333,0.170495,3.01065,0.00079633,1.95766
4,6.35421,6.18922,8.76682,0.096527,0.271063,0.32008,9.6756,0.00496988,1.23664,1.07165,7.31894,0.0952661,0.144343,0.193359,5.75668,0.00123498,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31894,0.0952661,0.0660076,0.223564,0.0937089,0.0170861,0.0124334,0.252982,5.75668,0.00123498,3.91293
5,1.58753,1.52696,7.9999,0.191923,0.0842779,0.102636,9.94724,0.00525399,0.329358,0.268787,6.27629,0.189402,0.0512007,0.0695586,2.11161,0.00259704,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27629,0.189402,0.131944,0.0825919,0.0312929,0.00626029,0.0189433,0.0731621,2.11161,0.00259704,7.82167
6,2.56373,2.44491,9.58927,0.32023,0.147294,0.184777,19.8589,0.00458728,0.558469,0.439642,6.27705,0.315186,0.0992492,0.136732,4.18794,0.00446749,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27705,0.315186,0.263879,0.160902,0.0607241,0.0124721,0.0343206,0.113978,4.18794,0.00446749,15.6427
7,0.457157,0.453776,10.9047,0.711176,0.028147,0.031809,56.1834,0.0104337,0.373275,0.369893,0.0141635,0.694011,0.0161338,0.0197958,0.465602,0.0102136,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0141635,0.694011,0.9382,0.0154613,0.0190498,0.00123249,0.117924,0.051401,0.465602,0.0102136,55.6165
8,0.029227,0.0287981,0.0197463,0.00772339,0.000547926,0.000610003,0.0685728,1.72207e-05,0.00231792,0.00188896,0.00213098,0.00770243,8.90906e-05,0.000151167,0.000551931,1.6952e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00213098,0.00770243,0.00114542,0.000108707,0.000100693,1.92325e-05,0.000334018,0.000757692,0.000551931,1.6952e-05,0.0679006
Total,38.5903,37.899,60.232,1.40706,1.25189,1.43535,108.73,0.0392569,7.33665,6.64533,39.5859,1.3801,0.60563,0.789089,22.5487,0.0205506,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5859,1.3801,1.4514,0.902946,0.41761,0.0681236,0.202992,1.32247,22.5487,0.0205506,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65751,0.00723964,1.33771,7.71054,0.018199,3.36273
