Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00178803,0.0722134,0.0743813,0.216149,0.000411486,0.163013,0.102567,1.40487,0.00178096,0.0224964,0.0246643,0.189603,0.000411395,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00178096,0.000548211,0.0349162,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000411395,0.0324979
2,15.3154,15.1184,12.729,0.0111586,0.484651,0.535364,7.83727,0.00404399,3.72925,3.53229,10.9706,0.0108434,0.194875,0.245589,6.8536,0.000252282,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0108434,0.0166535,0.269629,0.150922,0.0199131,0.00857674,0.568926,6.8536,0.000252282,0.987218
3,4.27745,4.19172,8.23257,0.021211,0.171284,0.190063,5.07845,0.00410934,0.944329,0.858603,7.32489,0.0205806,0.0848322,0.103611,3.11847,0.000511795,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32489,0.0205806,0.033024,0.127599,0.0520332,0.00881114,0.00772333,0.170495,3.11847,0.000511795,1.95766
4,6.35421,6.18922,8.7681,0.0393995,0.276323,0.322987,9.77157,0.00368402,1.23664,1.07165,7.32023,0.0381386,0.149603,0.196267,5.85266,0.000913518,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32023,0.0381386,0.0660076,0.231631,0.0937089,0.0171861,0.0124334,0.252982,5.85266,0.000913518,3.91293
5,1.58753,1.52696,8.00125,0.0879808,0.0859245,0.10337,9.9825,0.0040154,0.329358,0.268787,6.27765,0.0854592,0.0528472,0.0702927,2.14687,0.00197775,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27765,0.0854592,0.131944,0.0849339,0.0312929,0.00629907,0.0189433,0.0731621,2.14687,0.00197775,7.82167
6,2.56373,2.44491,9.59073,0.19083,0.151952,0.187463,19.9471,0.00398503,0.558469,0.439642,6.27852,0.185787,0.103907,0.139418,4.2761,0.00386524,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27852,0.185787,0.263879,0.168162,0.0607241,0.0125559,0.0343206,0.113978,4.2761,0.00386524,15.6427
7,0.457157,0.453776,10.9048,0.511778,0.0287497,0.0322354,56.1903,0.00990273,0.373275,0.369893,0.0143111,0.494612,0.0167365,0.0202222,0.472568,0.00968266,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143111,0.494612,0.9382,0.0164829,0.0190498,0.00123998,0.117924,0.051401,0.472568,0.00968266,55.6165
8,0.029227,0.0287981,0.019791,0.00670796,0.000548806,0.000610047,0.0685771,1.508e-05,0.00231792,0.00188896,0.00217574,0.00668701,8.99707e-05,0.000151212,0.000556201,1.48113e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00217574,0.00668701,0.00114542,0.000109596,0.000100693,1.9268e-05,0.000334018,0.000757692,0.000556201,1.48113e-05,0.0679006
Total,38.5903,37.899,60.2395,0.870854,1.27165,1.44647,109.092,0.0301671,7.33665,6.64533,39.5933,0.843889,0.625388,0.800215,22.9104,0.0176294,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5933,0.843889,1.4514,0.933464,0.41761,0.0684906,0.202992,1.32247,22.9104,0.0176294,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65182,0.00726746,1.34285,7.58717,0.0183759,3.39541
