Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00254553,0.0722246,0.0743925,0.216149,0.000850065,0.163013,0.102567,1.40487,0.00253846,0.0225076,0.0246755,0.189603,0.000849974,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00253846,0.000548211,0.0349386,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000849974,0.0324979
2,15.3154,15.1184,12.729,0.0258324,0.482892,0.533635,7.83727,0.00679294,3.72925,3.53229,10.9706,0.0255172,0.193116,0.243859,6.8536,0.000424091,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9706,0.0255172,0.0166535,0.266141,0.150922,0.0199118,0.00857674,0.568926,6.8536,0.000424091,0.987218
3,4.27745,4.19172,8.22934,0.0488035,0.166014,0.187752,4.95864,0.00551237,0.944329,0.858603,7.32165,0.0481731,0.0795616,0.1013,2.99866,0.000687174,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32165,0.0481731,0.033024,0.120143,0.0520332,0.00868534,0.00772333,0.170495,2.99866,0.000687174,1.95766
4,6.35421,6.18922,8.7671,0.0964895,0.272174,0.320677,9.69959,0.00495568,1.23664,1.07165,7.31922,0.0952286,0.145453,0.193957,5.78068,0.00123143,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.31922,0.0952286,0.0660076,0.22525,0.0937089,0.0171079,0.0124334,0.252982,5.78068,0.00123143,3.91293
5,1.58753,1.52696,7.99989,0.197666,0.0842985,0.102659,9.94724,0.00557046,0.329358,0.268787,6.27628,0.195145,0.0512213,0.0695816,2.11161,0.00275528,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27628,0.195145,0.131944,0.0826356,0.0312929,0.00626019,0.0189433,0.0731621,2.11161,0.00275528,7.82167
6,2.56373,2.44491,9.58992,0.346457,0.149441,0.186051,19.8942,0.00477189,0.558469,0.439642,6.2777,0.341414,0.101397,0.138006,4.22322,0.0046521,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.2777,0.341414,0.263879,0.164286,0.0607241,0.0125093,0.0343206,0.113978,4.22322,0.0046521,15.6427
7,0.457157,0.453776,10.9046,0.734721,0.0280286,0.0317737,56.1799,0.0105244,0.373275,0.369893,0.0140939,0.717555,0.0160154,0.0197605,0.462117,0.0103043,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0140939,0.717555,0.9382,0.0153111,0.0190498,0.00122895,0.117924,0.051401,0.462117,0.0103043,55.6165
8,0.029227,0.0287981,0.019738,0.00760492,0.00054776,0.000609991,0.0685728,1.68992e-05,0.00231792,0.00188896,0.00212269,0.00758397,8.89241e-05,0.000151156,0.000551928,1.66306e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00212269,0.00758397,0.00114542,0.000108536,0.000100693,1.92259e-05,0.000334018,0.000757692,0.000551928,1.66306e-05,0.0679006
Total,38.5903,37.899,60.2328,1.46012,1.25562,1.43755,108.802,0.0389947,7.33665,6.64533,39.5866,1.43316,0.609361,0.79129,22.62,0.020921,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5866,1.43316,1.4514,0.908814,0.41761,0.0681887,0.202992,1.32247,22.62,0.020921,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65636,0.00723682,1.33719,7.68565,0.0181813,3.35945
