Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00156303,0.0722131,0.074381,0.216149,0.000385351,0.163013,0.102567,1.40487,0.00155596,0.0224961,0.024664,0.189603,0.00038526,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00155596,0.000548211,0.0349157,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.00038526,0.0324979
2,15.3154,15.1184,12.729,0.0101161,0.484609,0.535208,7.83728,0.00399595,3.72925,3.53229,10.9707,0.00980091,0.194833,0.245432,6.85361,0.000249279,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9707,0.00980091,0.0166535,0.269425,0.150922,0.019918,0.00857674,0.568926,6.85361,0.000249279,0.987218
3,4.27745,4.19172,8.23269,0.0345197,0.171455,0.19013,5.07845,0.0043786,0.944329,0.858603,7.325,0.0338893,0.0850026,0.103678,3.11847,0.000545454,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.325,0.0338893,0.033024,0.127832,0.0520332,0.00881554,0.00772333,0.170495,3.11847,0.000545454,1.95766
4,6.35421,6.18922,8.76851,0.0460239,0.277607,0.323531,9.81952,0.00375013,1.23664,1.07165,7.32064,0.044763,0.150887,0.196811,5.90061,0.000930045,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32064,0.044763,0.0660076,0.233428,0.0937089,0.0172176,0.0124334,0.252982,5.90061,0.000930045,3.91293
5,1.58753,1.52696,8.00138,0.075409,0.0860709,0.103432,9.98251,0.00396596,0.329358,0.268787,6.27777,0.0728873,0.0529937,0.0703551,2.14687,0.00195303,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27777,0.0728873,0.131944,0.0851391,0.0312929,0.00630264,0.0189433,0.0731621,2.14687,0.00195303,7.82167
6,2.56373,2.44491,9.591,0.161205,0.152568,0.187728,19.9471,0.00390294,0.558469,0.439642,6.27878,0.156162,0.104524,0.139684,4.27611,0.00378314,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27878,0.156162,0.263879,0.169029,0.0607241,0.0125709,0.0343206,0.113978,4.27611,0.00378314,15.6427
7,0.457157,0.453776,10.9048,0.511643,0.0287692,0.0322373,56.1921,0.00990838,0.373275,0.369893,0.0143257,0.494477,0.016756,0.0202241,0.474307,0.0096883,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143257,0.494477,0.9382,0.0165036,0.0190498,0.00124073,0.117924,0.051401,0.474307,0.0096883,55.6165
8,0.029227,0.0287981,0.0197943,0.00668547,0.00054887,0.000610049,0.0685771,1.4834e-05,0.00231792,0.00188896,0.00217906,0.00666452,9.00344e-05,0.000151214,0.000556202,1.45653e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00217906,0.00666452,0.00114542,0.000109659,0.000100693,1.92707e-05,0.000334018,0.000757692,0.000556202,1.45653e-05,0.0679006
Total,38.5903,37.899,60.2404,0.847165,1.27384,1.44726,109.142,0.0303021,7.33665,6.64533,39.5943,0.8202,0.627583,0.800998,22.9601,0.0175491,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5943,0.8202,1.4514,0.936382,0.41761,0.0685506,0.202992,1.32247,22.9601,0.0175491,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65104,0.00726866,1.34307,7.57081,0.0183836,3.39683
