Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00177303,0.0722112,0.0743791,0.216149,0.00041026,0.163013,0.102567,1.40487,0.00176596,0.0224942,0.0246621,0.189603,0.000410169,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00176596,0.000548211,0.0349119,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000410169,0.0324979
2,15.3154,15.1184,12.7291,0.0111661,0.485532,0.5359,7.83729,0.0040569,3.72925,3.53229,10.9708,0.0108509,0.195756,0.246125,6.85362,0.000253088,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9708,0.0108509,0.0166535,0.271032,0.150922,0.0199278,0.00857674,0.568926,6.85362,0.000253088,0.987218
3,4.27745,4.19172,8.23276,0.0219104,0.171589,0.190196,5.09042,0.00408381,0.944329,0.858603,7.32507,0.0212799,0.0851367,0.103744,3.13044,0.000508604,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32507,0.0212799,0.033024,0.128029,0.0520332,0.00881842,0.00772333,0.170495,3.13044,0.000508604,1.95766
4,6.35421,6.18922,8.76867,0.0476551,0.278357,0.323975,9.81954,0.00378473,1.23664,1.07165,7.3208,0.0463943,0.151636,0.197255,5.90062,0.000938695,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.3208,0.0463943,0.0660076,0.234608,0.0937089,0.0172306,0.0124334,0.252982,5.90062,0.000938695,3.91293
5,1.58753,1.52696,8.00158,0.0943146,0.0863198,0.103544,9.99131,0.00405134,0.329358,0.268787,6.27798,0.0917929,0.0532426,0.0704665,2.15568,0.00199572,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27798,0.0917929,0.131944,0.0854935,0.0312929,0.00630849,0.0189433,0.0731621,2.15568,0.00199572,7.82167
6,2.56373,2.44491,9.59116,0.158907,0.152961,0.187901,19.9647,0.0039004,0.558469,0.439642,6.27894,0.153863,0.104916,0.139856,4.29373,0.00378061,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27894,0.153863,0.263879,0.169585,0.0607241,0.0125802,0.0343206,0.113978,4.29373,0.00378061,15.6427
7,0.457157,0.453776,10.9049,0.515747,0.0289662,0.0323466,56.1956,0.00990976,0.373275,0.369893,0.0143992,0.498582,0.016953,0.0203333,0.477788,0.00968969,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143992,0.498582,0.9382,0.0168062,0.0190498,0.00124446,0.117924,0.051401,0.477788,0.00968969,55.6165
8,0.029227,0.0287981,0.0197855,0.00670911,0.000548695,0.000610039,0.0685749,1.48401e-05,0.00231792,0.00188896,0.00217021,0.00668816,8.98595e-05,0.000151204,0.000554072,1.45715e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00217021,0.00668816,0.00114542,0.000109481,0.000100693,1.92636e-05,0.000334018,0.000757692,0.000554072,1.45715e-05,0.0679006
Total,38.5903,37.899,60.2412,0.858182,1.27648,1.44885,109.184,0.030212,7.33665,6.64533,39.595,0.831217,0.630226,0.802593,23.002,0.0175911,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.595,0.831217,1.4514,0.940575,0.41761,0.0685951,0.202992,1.32247,23.002,0.0175911,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65036,0.00726804,1.34295,7.55652,0.0183796,3.39609
