Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.00137553,0.0722141,0.074382,0.216149,0.000392617,0.163013,0.102567,1.40487,0.00136846,0.0224972,0.024665,0.189603,0.000392526,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00136846,0.000548211,0.0349177,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000392526,0.0324979
2,15.3154,15.1184,12.729,0.0102324,0.484644,0.535303,7.83727,0.0040209,3.72925,3.53229,10.9707,0.00991716,0.194868,0.245527,6.8536,0.000250838,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9707,0.00991716,0.0166535,0.269558,0.150922,0.0199154,0.00857674,0.568926,6.8536,0.000250838,0.987218
3,4.27745,4.19172,8.23268,0.0221241,0.17144,0.190118,5.07845,0.00410548,0.944329,0.858603,7.325,0.0214937,0.0849882,0.103666,3.11847,0.000511313,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.325,0.0214937,0.033024,0.127805,0.0520332,0.00881543,0.00772333,0.170495,3.11847,0.000511313,1.95766
4,6.35421,6.18922,8.76851,0.0436895,0.277672,0.323584,9.81952,0.00373739,1.23664,1.07165,7.32064,0.0424286,0.150952,0.196864,5.90061,0.000926861,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32064,0.0424286,0.0660076,0.233545,0.0937089,0.017218,0.0124334,0.252982,5.90061,0.000926861,3.91293
5,1.58753,1.52696,8.0016,0.0931371,0.0863361,0.103551,9.99131,0.00404468,0.329358,0.268787,6.27799,0.0906154,0.0532589,0.0704737,2.15568,0.00199239,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27799,0.0906154,0.131944,0.0855167,0.0312929,0.00630888,0.0189433,0.0731621,2.15568,0.00199239,7.82167
6,2.56373,2.44491,9.59122,0.215354,0.153126,0.187979,19.9647,0.00403706,0.558469,0.439642,6.27901,0.21031,0.105081,0.139934,4.29373,0.00391727,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27901,0.21031,0.263879,0.169824,0.0607241,0.0125839,0.0343206,0.113978,4.29373,0.00391727,15.6427
7,0.457157,0.453776,10.9049,0.536213,0.0289249,0.0323297,56.1938,0.00995282,0.373275,0.369893,0.0143787,0.519047,0.0169117,0.0203165,0.476048,0.00973275,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143787,0.519047,0.9382,0.016749,0.0190498,0.00124342,0.117924,0.051401,0.476048,0.00973275,55.6165
8,0.029227,0.0287981,0.0197943,0.00677735,0.00054887,0.000610049,0.0685771,1.49693e-05,0.00231792,0.00188896,0.00217906,0.0067564,9.00347e-05,0.000151214,0.000556202,1.47007e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00217906,0.0067564,0.00114542,0.00010966,0.000100693,1.92707e-05,0.000334018,0.000757692,0.000556202,1.47007e-05,0.0679006
Total,38.5903,37.899,60.2409,0.928902,1.27491,1.44786,109.17,0.0303059,7.33665,6.64533,39.5947,0.901937,0.628647,0.801598,22.9883,0.0177386,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5947,0.901937,1.4514,0.938026,0.41761,0.0685703,0.202992,1.32247,22.9883,0.0177386,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.6506,0.00726432,1.34227,7.56151,0.0183558,3.3917
