  -0.09507,  -0.52899,  -0.51296,  -0.27553,   0.20241,   0.40850,   0.93750,  -0.57525,  -0.62291,  -0.55057
   0.03844,   0.93750,  -0.93750,   0.42347,   0.30452,   0.24133,   0.54776,   0.93750,   0.93750,  -0.65139
  -0.56170,   0.71167,   0.16279,  -0.74604,  -0.89841,   0.21258,   0.93750,  -0.46434,  -0.62174,   0.91792
  -0.06966,   0.06792,  -0.36444,   0.44867,  -0.73133,   0.75904,   0.01084,   0.12847,  -0.26711,  -0.09040
   0.79343,   0.82496,  -0.60991,  -0.93750,   0.86257,  -0.93750,   0.93750,   0.93750,   0.81985,  -0.42614
  -0.78222,  -0.16155,   0.44806,   0.09217,   0.93750,   0.93750,  -0.93750,  -0.75575,  -0.73625,   0.47677
   0.19650,   0.48694,  -0.59558,   0.15665,   0.14464,  -0.77242,   0.05771,   0.92141,   0.32386,  -0.61165
   0.02119,   0.29732,  -0.13134,  -0.69069,   0.56301,   0.68095,  -0.06771,   0.43760,   0.08764,  -0.23824
  -0.04490,   0.21181,   0.83419,  -0.23171,   0.59230,   0.23375,  -0.55986,  -0.46929,  -0.07696,   0.60092
   0.22631,   0.23331,  -0.93750,  -0.68451,   0.93750,  -0.86220,   0.93750,  -0.16017,   0.31496,   0.13279
  -0.63229,  -0.87163,   0.93750,   0.93750,  -0.64299,   0.93750,  -0.63787,  -0.50311,  -0.08397,  -0.73058
   0.40173,   0.55467,  -0.63432,   0.74789,   0.93750,  -0.30514,  -0.87915,  -0.11812,  -0.54039,   0.24953
  -0.15724,   0.27252,   0.01057,   0.22114,   0.26159,  -0.06030,   0.26268,   0.43281,  -0.01132,   0.25412
   0.88096,   0.51078,  -0.84482,  -0.82757,   0.47245,  -0.18121,   0.03503,  -0.74940,   0.73947,   0.68365
   0.93750,   0.93750,   0.93750,   0.06802,   0.93750,   0.39454,  -0.74876,  -0.90441,   0.93750,   0.93750
  -0.18406,   0.31206,   0.73356,  -0.91808,   0.87563,   0.50736,   0.34536,   0.87425,  -0.21056,   0.22023
  -0.87665,  -0.26205,  -0.73989,   0.93750,  -0.82134,   0.87820,   0.75743,  -0.93750,   0.43548,  -0.30859
  -0.32099,   0.93750,  -0.37481,  -0.52798,  -0.93750,   0.35502,  -0.70266,  -0.61365,   0.29024,  -0.56190
   0.10894,   0.87446,   0.06305,   0.87666,  -0.18166,  -0.82996,  -0.80690,  -0.13213,   0.00655,   0.87580
   0.93750,   0.86756,  -0.57503,   0.75357,  -0.14950,   0.49701,  -0.48348,  -0.00592,  -0.54227,  -0.36143
   0.85881,  -0.29676,   0.33691,   0.10737,   0.43527,   0.24260,   0.76045,  -0.54900,   0.33841,   0.87927
   0.04420,   0.44304,  -0.26703,   0.25291,  -0.44601,   0.85910,   0.32816,  -0.93750,  -0.21646,  -0.15127
   0.67246,  -0.81983,   0.93750,  -0.56233,   0.93750,   0.89254,  -0.74850,  -0.79941,   0.93750,  -0.29068
  -0.70255,   0.93750,   0.41069,  -0.54163,  -0.58413,  -0.42151,  -0.34287,  -0.57678,  -0.73664,  -0.93750
  -0.55008,   0.67128,   0.47505,  -0.33276,   0.82690,   0.68401,  -0.68706,  -0.93750,   0.18476,  -0.89737
